time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0001,-0.3743,0.9145,0.1054,-0.35,-2.94,-1.47
0.0001,-0.3733,0.9160,0.1074,-0.84,-2.66,-0.63
0.0002,-0.3704,0.9160,0.1049,-0.84,-3.01,-1.82
0.0002,-0.3684,0.9135,0.1035,-0.91,-2.17,-0.49
0.0003,-0.3694,0.9130,0.1025,-1.05,-2.66,-1.68
0.0003,-0.3670,0.9155,0.1010,-0.84,-2.87,-0.70
0.0004,-0.3650,0.9189,0.1039,-0.98,-2.45,-1.33
0.0005,-0.3655,0.9189,0.1074,-0.98,-3.01,-0.91
0.0005,-0.3680,0.9189,0.1039,-1.19,-3.01,-1.82
0.0006,-0.3689,0.9228,0.1005,-1.19,-2.87,-0.91
0.0006,-0.3719,0.9238,0.1035,-1.19,-2.87,-2.24
0.0007,-0.3704,0.9223,0.1049,-0.84,-2.59,-0.70
0.0007,-0.3699,0.9223,0.1039,-1.47,-2.80,-2.10
0.0008,-0.3743,0.9233,0.1049,-0.56,-2.80,-0.91
0.0009,-0.3738,0.9233,0.1069,-1.68,-2.45,-1.68
0.0009,-0.3719,0.9213,0.1059,-0.63,-3.01,-1.54
0.0010,-0.3704,0.9194,0.1039,-1.33,-2.59,-1.40
0.0010,-0.3728,0.9233,0.1069,-0.91,-2.94,-1.68
0.0011,-0.3728,0.9262,0.1078,-1.12,-2.66,-1.54
0.0011,-0.3767,0.9233,0.1059,-1.12,-2.94,-2.17
0.0021,-0.3782,0.9238,0.1059,-0.91,-2.45,-1.19
0.0030,-0.3728,0.9282,0.1049,-1.05,-3.36,-2.45
0.0039,-0.3723,0.9306,0.1020,-0.98,-2.73,-1.05
0.0049,-0.3738,0.9301,0.1035,-1.19,-3.22,-2.59
0.0058,-0.3743,0.9311,0.1049,-0.77,-2.59,-1.40
0.0067,-0.3719,0.9301,0.1025,-1.75,-3.29,-2.87
0.0076,-0.3704,0.9296,0.1000,-0.56,-2.52,-1.33
0.0086,-0.3680,0.9277,0.0991,-1.61,-3.22,-2.80
0.0095,-0.3684,0.9262,0.0986,-0.63,-2.52,-1.61
0.0104,-0.3738,0.9272,0.0991,-1.40,-3.29,-2.80
0.0113,-0.3738,0.9252,0.1000,-0.70,-2.87,-1.68
0.0123,-0.3689,0.9292,0.1035,-1.47,-3.01,-2.73
0.0132,-0.3689,0.9306,0.1044,-0.56,-3.22,-2.10
0.0141,-0.3719,0.9282,0.1010,-1.61,-2.66,-2.66
0.0150,-0.3748,0.9321,0.1035,-0.56,-2.80,-2.10
0.0160,-0.3748,0.9360,0.1044,-1.26,-2.87,-2.87
0.0169,-0.3733,0.9335,0.1000,-0.70,-3.43,-2.17
0.0178,-0.3723,0.9340,0.1000,-1.12,-3.08,-2.66
0.0187,-0.3714,0.9321,0.1000,-0.98,-3.01,-2.24
0.0197,-0.3689,0.9272,0.0981,-0.91,-3.50,-2.73
0.0198,-0.3645,0.9267,0.1015,-0.91,-3.36,-2.59
0.0198,-0.3675,0.9287,0.1069,-0.63,-3.22,-2.59
0.0199,-0.3733,0.9287,0.1054,-1.26,-3.50,-2.87
0.0200,-0.3723,0.9292,0.1005,-0.70,-2.94,-2.17
0.0201,-0.3714,0.9292,0.1044,-0.84,-3.43,-3.01
0.0201,-0.3719,0.9296,0.1020,-0.84,-3.43,-3.08
0.0202,-0.3758,0.9277,0.1030,-0.35,-2.94,-2.24
0.0203,-0.3782,0.9272,0.1010,-0.91,-3.22,-2.73
0.0204,-0.3748,0.9287,0.0991,-0.28,-3.43,-2.45
0.0205,-0.3728,0.9321,0.0981,-0.98,-3.08,-2.52
0.0205,-0.3704,0.9350,0.1005,-0.70,-3.50,-2.52
0.0206,-0.3684,0.9340,0.1049,-0.77,-3.43,-2.80
0.0207,-0.3704,0.9331,0.1059,-0.21,-3.57,-2.66
0.0208,-0.3743,0.9350,0.1078,-0.77,-3.43,-2.24
0.0208,-0.3723,0.9340,0.1030,-0.42,-3.71,-2.73
0.0209,-0.3694,0.9345,0.1030,-0.63,-3.50,-2.31
0.0210,-0.3738,0.9384,0.1098,-0.35,-3.43,-2.24
0.0211,-0.3743,0.9360,0.1093,-0.35,-3.64,-2.38
0.0211,-0.3723,0.9335,0.1088,-0.42,-3.78,-2.38
0.0212,-0.3733,0.9335,0.1108,-0.07,-3.85,-2.45
0.0219,-0.3738,0.9370,0.1078,-0.63,-3.57,-2.52
0.0226,-0.3723,0.9379,0.1039,0.00,-3.99,-2.10
0.0233,-0.3699,0.9355,0.1025,-0.35,-3.57,-2.59
0.0240,-0.3670,0.9374,0.1000,-0.42,-4.48,-2.31
0.0247,-0.3694,0.9370,0.1000,-0.35,-3.78,-2.80
0.0253,-0.3723,0.9345,0.1049,0.21,-4.06,-2.38
0.0260,-0.3704,0.9365,0.1020,-0.28,-3.43,-1.89
0.0267,-0.3719,0.9374,0.1025,-0.28,-4.41,-2.59
0.0274,-0.3738,0.9355,0.1000,0.14,-3.43,-2.10
0.0281,-0.3733,0.9350,0.1025,-0.28,-4.34,-2.59
0.0288,-0.3699,0.9374,0.1064,0.56,-3.57,-1.75
0.0295,-0.3699,0.9389,0.1044,-0.28,-4.27,-2.31
0.0301,-0.3748,0.9365,0.1035,0.07,-3.99,-2.03
0.0308,-0.3762,0.9316,0.1000,0.21,-4.62,-2.59
0.0315,-0.3748,0.9340,0.1030,0.14,-3.78,-1.61
0.0322,-0.3748,0.9384,0.1049,0.07,-3.85,-2.03
0.0329,-0.3758,0.9370,0.1015,0.42,-4.34,-1.96
