time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0001,-0.9838,0.0185,0.2201,2.24,-5.11,-4.41
0.0001,-0.9823,0.0176,0.2240,2.87,-5.53,-4.34
0.0002,-0.9838,0.0190,0.2250,2.52,-5.53,-4.34
0.0002,-0.9867,0.0220,0.2225,2.94,-5.18,-3.78
0.0003,-0.9838,0.0210,0.2181,2.52,-6.09,-4.41
0.0003,-0.9780,0.0176,0.2172,2.87,-5.39,-3.85
0.0004,-0.9794,0.0220,0.2162,2.66,-5.88,-4.13
0.0004,-0.9823,0.0244,0.2176,2.73,-5.60,-3.50
0.0005,-0.9823,0.0229,0.2220,2.66,-5.95,-4.13
0.0005,-0.9828,0.0273,0.2220,2.66,-5.46,-3.57
0.0006,-0.9838,0.0273,0.2201,2.80,-5.81,-3.57
0.0006,-0.9858,0.0244,0.2211,2.94,-5.60,-3.57
0.0007,-0.9862,0.0259,0.2225,2.87,-6.02,-3.64
0.0008,-0.9828,0.0249,0.2235,2.59,-5.60,-3.36
0.0008,-0.9809,0.0224,0.2255,3.01,-5.46,-3.22
0.0009,-0.9784,0.0215,0.2259,2.73,-5.81,-3.22
0.0009,-0.9780,0.0220,0.2255,2.94,-5.74,-3.08
0.0010,-0.9814,0.0210,0.2250,3.01,-5.81,-2.94
0.0010,-0.9809,0.0215,0.2259,3.15,-5.74,-2.87
0.0011,-0.9804,0.0259,0.2274,2.87,-5.46,-2.66
0.0020,-0.9819,0.0249,0.2284,3.01,-5.81,-2.87
0.0030,-0.9770,0.0234,0.2279,2.94,-5.81,-2.73
0.0039,-0.9740,0.0234,0.2269,3.01,-5.67,-2.38
0.0049,-0.9784,0.0210,0.2255,2.94,-5.95,-2.80
0.0058,-0.9833,0.0200,0.2245,3.01,-5.11,-1.82
0.0068,-0.9848,0.0234,0.2269,3.15,-6.09,-2.66
0.0077,-0.9833,0.0249,0.2298,3.08,-5.60,-1.82
0.0086,-0.9819,0.0229,0.2298,2.94,-5.53,-2.24
0.0096,-0.9828,0.0229,0.2284,3.29,-5.67,-1.54
0.0105,-0.9833,0.0234,0.2264,2.73,-6.02,-2.10
0.0115,-0.9789,0.0229,0.2264,3.36,-5.67,-1.68
0.0124,-0.9780,0.0244,0.2303,2.87,-5.67,-2.10
0.0134,-0.9789,0.0234,0.2333,3.43,-5.60,-1.40
0.0143,-0.9794,0.0215,0.2298,2.87,-5.74,-1.96
0.0153,-0.9799,0.0224,0.2250,3.43,-5.53,-0.91
0.0162,-0.9789,0.0215,0.2269,3.08,-5.74,-1.75
0.0172,-0.9794,0.0220,0.2294,3.36,-5.18,-1.12
0.0181,-0.9828,0.0239,0.2313,3.43,-5.60,-1.05
0.0190,-0.9819,0.0239,0.2318,3.71,-5.39,-0.91
0.0200,-0.9804,0.0224,0.2308,3.29,-5.60,-1.05
0.0208,-0.9833,0.0224,0.2323,3.85,-5.18,-0.77
0.0216,-0.9819,0.0210,0.2323,3.22,-6.16,-0.98
0.0225,-0.9770,0.0210,0.2313,3.64,-5.39,-1.05
0.0233,-0.9765,0.0224,0.2298,3.36,-5.46,-0.84
0.0241,-0.9770,0.0210,0.2289,3.78,-5.88,-1.33
0.0249,-0.9775,0.0205,0.2318,3.50,-5.53,-0.70
0.0258,-0.9765,0.0210,0.2303,3.78,-5.95,-1.05
0.0266,-0.9740,0.0220,0.2279,3.71,-5.46,-0.21
0.0274,-0.9731,0.0185,0.2279,3.43,-6.09,-1.40
0.0283,-0.9736,0.0200,0.2259,3.85,-5.32,-0.35
0.0291,-0.9755,0.0220,0.2279,3.22,-5.67,-0.98
0.0299,-0.9726,0.0195,0.2289,3.92,-5.46,-0.28
0.0307,-0.9711,0.0200,0.2313,3.29,-5.67,-0.91
0.0316,-0.9706,0.0200,0.2303,4.34,-5.67,-0.49
0.0324,-0.9716,0.0220,0.2245,2.94,-5.32,-0.42
0.0332,-0.9726,0.0190,0.2303,4.20,-6.02,-0.77
0.0340,-0.9711,0.0195,0.2279,3.92,-5.60,-0.07
0.0349,-0.9711,0.0205,0.2250,3.71,-5.74,-1.05
0.0357,-0.9726,0.0205,0.2298,3.99,-5.67,-0.42
0.0365,-0.9750,0.0166,0.2357,3.64,-5.88,-1.12
0.0370,-0.9755,0.0171,0.2352,3.85,-5.53,-0.77
0.0375,-0.9731,0.0181,0.2318,3.78,-6.23,-0.98
0.0379,-0.9701,0.0161,0.2318,3.78,-5.95,-0.70
0.0384,-0.9692,0.0166,0.2328,3.85,-5.60,-1.19
0.0389,-0.9682,0.0166,0.2323,3.85,-5.74,-0.42
0.0393,-0.9697,0.0185,0.2313,4.13,-5.81,-1.12
0.0398,-0.9721,0.0181,0.2284,4.06,-5.81,-0.77
0.0403,-0.9755,0.0156,0.2240,4.13,-5.74,-1.05
0.0407,-0.9775,0.0171,0.2255,3.43,-6.02,-1.19
0.0412,-0.9765,0.0156,0.2279,4.34,-5.74,-1.05
0.0417,-0.9775,0.0181,0.2255,3.50,-5.74,-1.54
0.0421,-0.9765,0.0195,0.2269,4.34,-5.74,-0.77
0.0426,-0.9721,0.0181,0.2298,3.57,-6.09,-1.47
0.0430,-0.9706,0.0176,0.2289,4.13,-5.88,-0.91
0.0435,-0.9760,0.0176,0.2289,3.71,-6.23,-2.10
0.0440,-0.9784,0.0195,0.2264,3.85,-5.74,-1.19
0.0444,-0.9770,0.0171,0.2245,3.99,-6.09,-2.03
0.0449,-0.9784,0.0142,0.2284,4.06,-6.23,-1.05
0.0454,-0.9794,0.0122,0.2294,3.99,-5.74,-2.10
0.0458,-0.9780,0.0132,0.2274,3.92,-5.81,-0.98
0.0459,-0.9765,0.0151,0.2250,3.99,-5.74,-2.10
0.0459,-0.9765,0.0117,0.2211,3.64,-6.23,-1.47
0.0459,-0.9780,0.0093,0.2201,3.99,-5.74,-1.82
0.0460,-0.9770,0.0112,0.2230,3.78,-6.16,-1.75
0.0460,-0.9760,0.0102,0.2264,4.06,-5.67,-1.68
0.0460,-0.9765,0.0122,0.2269,3.85,-6.16,-1.75
0.0461,-0.9740,0.0127,0.2250,3.99,-5.46,-1.89
0.0461,-0.9745,0.0093,0.2240,4.06,-6.16,-2.17
0.0462,-0.9750,0.0098,0.2274,3.92,-5.81,-1.82
0.0462,-0.9745,0.0093,0.2274,4.13,-5.88,-2.24
0.0462,-0.9750,0.0093,0.2255,3.85,-5.53,-1.33
0.0463,-0.9775,0.0117,0.2269,3.85,-5.60,-1.96
0.0463,-0.9799,0.0127,0.2308,3.99,-6.02,-1.96
0.0463,-0.9784,0.0073,0.2294,3.92,-5.46,-2.03
0.0464,-0.9755,0.0044,0.2279,4.13,-6.23,-1.96
0.0464,-0.9721,0.0063,0.2303,3.78,-5.46,-1.82
0.0464,-0.9721,0.0039,0.2289,3.85,-6.51,-2.17
0.0465,-0.9740,0.0049,0.2289,4.06,-5.39,-1.75
0.0465,-0.9740,0.0044,0.2308,3.78,-5.74,-1.96
0.0465,-0.9736,0.0054,0.2274,4.06,-5.39,-1.54
0.0471,-0.9765,0.0088,0.2264,3.71,-5.81,-2.38
0.0476,-0.9770,0.0083,0.2298,3.78,-5.74,-1.61
0.0481,-0.9750,0.0083,0.2284,3.92,-5.46,-2.17
0.0486,-0.9740,0.0059,0.2255,3.64,-5.25,-1.68
0.0492,-0.9760,0.0034,0.2264,3.57,-5.32,-1.96
0.0497,-0.9775,0.0068,0.2279,4.27,-5.74,-1.54
0.0502,-0.9740,0.0068,0.2274,3.85,-5.11,-1.68
0.0508,-0.9745,0.0049,0.2250,3.64,-5.67,-1.61
0.0513,-0.9750,0.0059,0.2255,3.78,-5.39,-1.89
0.0518,-0.9721,0.0034,0.2269,4.06,-5.53,-1.47
0.0523,-0.9745,0.0044,0.2279,3.50,-5.18,-1.26
0.0529,-0.9804,0.0083,0.2313,3.99,-5.74,-1.75
0.0534,-0.9823,0.0068,0.2308,3.64,-5.18,-1.33
0.0539,-0.9799,0.0024,0.2308,3.85,-5.32,-1.47
0.0545,-0.9789,0.0024,0.2308,3.85,-4.83,-1.19
0.0550,-0.9789,0.0039,0.2264,3.71,-4.62,-0.84
0.0555,-0.9765,0.0029,0.2264,3.50,-5.25,-1.68
0.0560,-0.9755,0.0015,0.2303,3.78,-4.55,-1.12
0.0566,-0.9755,0.0010,0.2294,3.36,-5.53,-1.54
0.0571,-0.9784,0.0063,0.2279,3.71,-4.83,-0.77
0.0582,-0.9760,0.0054,0.2313,3.43,-5.46,-1.61
0.0593,-0.9770,0.0024,0.2294,3.85,-4.69,-0.84
0.0604,-0.9784,0.0063,0.2264,3.50,-5.18,-1.75
0.0615,-0.9755,0.0078,0.2284,3.64,-4.76,-0.63
0.0626,-0.9799,0.0059,0.2269,3.29,-4.97,-1.47
0.0638,-0.9789,0.0044,0.2250,3.57,-4.27,-0.77
0.0649,-0.9765,0.0054,0.2250,3.29,-5.11,-1.61
0.0660,-0.9770,0.0044,0.2264,3.50,-4.48,-0.70
0.0671,-0.9780,0.0054,0.2289,3.29,-4.97,-1.47
0.0682,-0.9765,0.0073,0.2298,3.29,-4.41,-0.84
0.0693,-0.9731,0.0044,0.2313,3.50,-4.90,-1.19
0.0704,-0.9736,0.0029,0.2289,3.43,-4.62,-1.47
0.0715,-0.9770,0.0073,0.2294,2.87,-4.41,-1.12
0.0726,-0.9736,0.0044,0.2289,3.71,-4.55,-0.98
0.0737,-0.9721,0.0039,0.2274,3.08,-4.55,-1.26
0.0748,-0.9697,0.0044,0.2303,3.50,-4.34,-1.47
0.0759,-0.9692,0.0034,0.2303,2.73,-4.34,-1.05
0.0770,-0.9716,0.0059,0.2298,3.36,-4.27,-1.05
0.0782,-0.9716,0.0044,0.2313,3.08,-4.41,-1.47
0.0793,-0.9706,0.0054,0.2279,3.50,-4.27,-0.98
0.0793,-0.9692,0.0083,0.2274,2.87,-4.34,-1.12
0.0794,-0.9667,0.0078,0.2284,3.29,-4.55,-1.12
0.0795,-0.9682,0.0068,0.2274,3.01,-4.34,-1.26
0.0795,-0.9682,0.0083,0.2284,3.36,-4.27,-1.05
0.0796,-0.9701,0.0068,0.2298,3.22,-4.13,-1.47
0.0797,-0.9750,0.0049,0.2294,2.94,-4.69,-1.40
0.0797,-0.9726,0.0093,0.2294,3.15,-4.20,-1.47
0.0798,-0.9692,0.0107,0.2318,2.94,-4.34,-1.54
0.0799,-0.9687,0.0102,0.2313,2.80,-4.27,-1.19
0.0799,-0.9672,0.0102,0.2328,3.43,-4.76,-1.54
0.0800,-0.9658,0.0088,0.2342,2.87,-4.13,-1.47
0.0801,-0.9658,0.0112,0.2289,2.80,-4.27,-1.47
0.0801,-0.9682,0.0107,0.2255,3.36,-4.20,-1.82
0.0802,-0.9677,0.0088,0.2269,2.94,-4.27,-1.26
0.0803,-0.9682,0.0112,0.2279,2.87,-3.85,-1.54
0.0803,-0.9701,0.0117,0.2284,2.80,-3.99,-1.40
0.0804,-0.9706,0.0098,0.2279,3.22,-3.92,-1.68
0.0805,-0.9667,0.0088,0.2264,2.66,-3.99,-1.47
0.0805,-0.9687,0.0088,0.2264,3.29,-4.20,-1.68
0.0806,-0.9682,0.0068,0.2308,2.45,-4.20,-1.33
0.0811,-0.9662,0.0049,0.2308,2.87,-3.85,-1.61
0.0816,-0.9687,0.0059,0.2289,2.94,-3.78,-1.68
0.0821,-0.9687,0.0078,0.2313,2.73,-4.06,-1.47
0.0825,-0.9697,0.0054,0.2313,2.94,-4.13,-1.82
0.0830,-0.9672,0.0068,0.2318,3.08,-3.92,-1.47
0.0835,-0.9648,0.0093,0.2313,2.59,-3.78,-1.96
0.0840,-0.9658,0.0068,0.2313,2.80,-3.99,-1.19
0.0845,-0.9672,0.0068,0.2303,2.87,-3.64,-2.10
0.0850,-0.9667,0.0078,0.2289,2.52,-3.85,-1.26
0.0855,-0.9628,0.0098,0.2338,3.08,-3.85,-2.38
0.0859,-0.9614,0.0073,0.2333,2.45,-4.20,-1.82
0.0864,-0.9633,0.0059,0.2333,2.87,-3.64,-1.89
0.0869,-0.9662,0.0083,0.2352,2.38,-4.20,-1.96
0.0874,-0.9682,0.0107,0.2347,2.80,-3.36,-1.47
0.0879,-0.9667,0.0088,0.2377,2.66,-3.64,-1.82
0.0884,-0.9648,0.0049,0.2372,2.80,-3.85,-1.75
0.0889,-0.9638,0.0078,0.2338,2.38,-3.92,-1.96
0.0893,-0.9667,0.0068,0.2372,2.52,-3.57,-1.47
0.0898,-0.9658,0.0034,0.2396,2.73,-4.06,-2.38
0.0903,-0.9633,0.0049,0.2381,2.45,-3.99,-1.47
0.0909,-0.9643,0.0044,0.2372,2.80,-3.57,-2.38
0.0915,-0.9633,0.0044,0.2347,2.45,-3.85,-1.54
0.0921,-0.9609,0.0068,0.2352,2.66,-3.64,-2.17
0.0927,-0.9609,0.0024,0.2362,2.45,-3.50,-1.82
0.0933,-0.9638,0.0010,0.2338,2.45,-3.50,-2.03
0.0939,-0.9643,0.0049,0.2338,2.52,-3.99,-2.17
0.0945,-0.9614,0.0054,0.2342,1.96,-3.71,-2.24
0.0951,-0.9594,0.0049,0.2303,2.52,-3.85,-2.10
0.0957,-0.9623,0.0039,0.2284,2.31,-3.64,-2.31
0.0963,-0.9643,0.0044,0.2338,2.31,-3.71,-2.17
0.0969,-0.9658,0.0073,0.2367,2.52,-3.50,-1.96
0.0975,-0.9653,0.0054,0.2347,2.24,-3.50,-2.45
0.0981,-0.9628,0.0034,0.2333,2.31,-3.64,-2.17
0.0987,-0.9628,0.0029,0.2323,2.10,-3.43,-2.17
0.0993,-0.9589,0.0020,0.2347,2.38,-3.64,-2.10
0.0999,-0.9614,0.0024,0.2347,1.96,-3.43,-2.59
0.1005,-0.9662,0.0020,0.2347,2.10,-4.20,-2.24
0.1011,-0.9628,0.0054,0.2347,2.17,-3.29,-2.59
0.1017,-0.9643,0.0093,0.2333,2.24,-3.57,-2.31
0.1023,-0.9677,0.0068,0.2386,2.10,-3.36,-2.59
0.1028,-0.9662,0.0054,0.2401,1.82,-3.85,-2.73
0.1034,-0.9648,0.0073,0.2367,2.17,-3.64,-2.24
0.1040,-0.9643,0.0054,0.2367,1.96,-3.85,-2.87
0.1045,-0.9653,0.0029,0.2367,1.75,-3.29,-2.38
0.1051,-0.9682,0.0039,0.2401,1.89,-3.50,-2.94
0.1056,-0.9653,0.0029,0.2440,2.10,-3.36,-2.59
0.1062,-0.9618,0.0020,0.2425,1.82,-3.64,-3.01
0.1068,-0.9623,0.0063,0.2367,1.68,-3.78,-3.15
0.1073,-0.9638,0.0088,0.2323,1.89,-3.64,-3.08
0.1079,-0.9638,0.0063,0.2333,1.89,-3.36,-2.73
0.1085,-0.9638,0.0063,0.2377,1.96,-3.43,-3.22
0.1090,-0.9633,0.0102,0.2381,1.68,-3.43,-2.38
0.1096,-0.9623,0.0102,0.2386,1.47,-3.78,-3.64
0.1101,-0.9633,0.0088,0.2411,1.89,-3.50,-2.80
0.1107,-0.9633,0.0107,0.2430,1.68,-3.50,-3.85
0.1113,-0.9623,0.0127,0.2425,1.75,-3.78,-3.01
0.1118,-0.9648,0.0127,0.2381,1.68,-3.57,-3.85
0.1124,-0.9672,0.0102,0.2357,1.61,-3.78,-3.01
0.1129,-0.9677,0.0112,0.2357,1.61,-3.57,-3.71
0.1135,-0.9672,0.0122,0.2328,1.61,-3.71,-3.36
0.1141,-0.9658,0.0102,0.2323,1.54,-3.57,-3.99
0.1146,-0.9648,0.0127,0.2328,1.75,-3.78,-3.43
0.1152,-0.9658,0.0171,0.2362,1.61,-3.71,-3.64
0.1158,-0.9682,0.0151,0.2396,1.40,-3.22,-3.43
0.1163,-0.9677,0.0132,0.2386,1.68,-4.27,-3.71
0.1169,-0.9667,0.0151,0.2342,1.75,-3.22,-3.78
0.1174,-0.9662,0.0151,0.2338,1.47,-4.06,-3.78
0.1180,-0.9692,0.0151,0.2367,1.54,-3.78,-3.85
0.1186,-0.9706,0.0151,0.2357,1.61,-2.94,-3.99
0.1191,-0.9706,0.0156,0.2352,1.33,-3.85,-3.71
0.1197,-0.9687,0.0156,0.2357,1.19,-3.15,-4.06
0.1203,-0.9682,0.0142,0.2357,1.68,-3.57,-3.99
0.1208,-0.9721,0.0176,0.2352,1.26,-3.22,-4.34
0.1214,-0.9760,0.0171,0.2352,1.75,-3.64,-3.85
0.1219,-0.9770,0.0156,0.2357,1.19,-3.29,-4.13
0.1225,-0.9731,0.0205,0.2372,2.17,-3.64,-3.92
0.1231,-0.9740,0.0195,0.2372,1.47,-3.22,-4.06
0.1236,-0.9780,0.0176,0.2386,1.61,-3.29,-3.92
0.1242,-0.9750,0.0181,0.2386,1.47,-3.36,-4.13
0.1247,-0.9706,0.0181,0.2381,2.03,-3.57,-4.27
0.1253,-0.9711,0.0215,0.2357,1.33,-3.57,-4.06
0.1258,-0.9721,0.0259,0.2338,1.61,-3.43,-4.13
0.1263,-0.9721,0.0244,0.2381,1.54,-3.08,-3.85
0.1269,-0.9736,0.0234,0.2367,1.75,-3.15,-4.20
0.1274,-0.9716,0.0234,0.2381,1.61,-3.15,-4.41
0.1279,-0.9745,0.0176,0.2352,1.75,-3.50,-4.34
0.1285,-0.9740,0.0200,0.2372,1.61,-3.08,-3.99
0.1290,-0.9770,0.0205,0.2377,2.03,-3.22,-3.99
0.1295,-0.9770,0.0229,0.2362,1.40,-2.73,-4.27
0.1301,-0.9726,0.0244,0.2372,1.89,-3.15,-4.13
0.1306,-0.9706,0.0239,0.2420,1.61,-2.59,-3.71
0.1311,-0.9750,0.0249,0.2420,1.89,-3.01,-4.06
0.1316,-0.9784,0.0254,0.2411,1.61,-2.94,-3.92
0.1322,-0.9750,0.0244,0.2416,1.75,-3.15,-4.20
0.1327,-0.9755,0.0234,0.2416,1.82,-3.01,-3.64
0.1332,-0.9780,0.0254,0.2420,1.82,-3.01,-4.13
0.1338,-0.9731,0.0259,0.2401,1.89,-2.87,-3.57
0.1343,-0.9721,0.0244,0.2430,1.82,-2.80,-3.78
0.1348,-0.9789,0.0259,0.2440,1.96,-2.80,-3.64
0.1354,-0.9794,0.0268,0.2396,1.89,-2.94,-3.57
0.1360,-0.9755,0.0268,0.2445,1.96,-2.73,-3.85
