time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0002,-0.9457,0.0468,0.3494,0.84,-0.98,-1.82
0.0004,-0.9477,0.0468,0.3509,0.42,-1.61,-3.57
0.0006,-0.9492,0.0478,0.3543,0.84,-1.05,-1.75
0.0008,-0.9472,0.0483,0.3543,0.07,-1.05,-3.22
0.0010,-0.9472,0.0464,0.3504,0.84,-0.70,-1.96
0.0011,-0.9448,0.0464,0.3475,0.35,-1.47,-3.50
0.0013,-0.9448,0.0434,0.3460,0.49,-1.12,-2.10
0.0015,-0.9482,0.0439,0.3479,0.00,-1.19,-3.22
0.0017,-0.9433,0.0478,0.3533,0.49,-0.84,-2.31
0.0019,-0.9414,0.0478,0.3558,0.14,-0.98,-2.87
0.0021,-0.9477,0.0498,0.3509,0.63,-0.98,-2.59
0.0023,-0.9477,0.0493,0.3504,0.21,-0.91,-2.45
0.0025,-0.9433,0.0498,0.3509,0.14,-0.77,-2.17
0.0027,-0.9423,0.0464,0.3548,-0.07,-1.05,-3.29
0.0029,-0.9438,0.0464,0.3538,0.07,-0.56,-1.96
0.0031,-0.9433,0.0468,0.3499,-0.14,-1.05,-3.36
0.0033,-0.9438,0.0503,0.3479,0.42,-0.56,-1.82
0.0034,-0.9433,0.0512,0.3489,-0.14,-0.98,-3.43
0.0036,-0.9433,0.0493,0.3499,0.49,-0.84,-1.96
0.0038,-0.9418,0.0498,0.3514,-0.14,-1.05,-3.15
0.0050,-0.9394,0.0542,0.3484,0.28,-1.26,-2.17
0.0062,-0.9409,0.0547,0.3445,-0.35,-1.12,-2.80
0.0075,-0.9414,0.0547,0.3450,0.28,-0.98,-2.10
0.0087,-0.9404,0.0542,0.3445,-0.63,-0.98,-3.22
0.0099,-0.9389,0.0498,0.3455,0.35,-0.91,-2.17
0.0111,-0.9399,0.0522,0.3470,-0.56,-1.33,-2.87
0.0123,-0.9399,0.0581,0.3460,0.14,-1.26,-2.10
0.0135,-0.9360,0.0586,0.3455,-0.35,-0.84,-2.80
0.0147,-0.9331,0.0590,0.3455,0.07,-1.26,-1.96
0.0159,-0.9370,0.0547,0.3455,-0.49,-1.26,-2.17
0.0171,-0.9409,0.0542,0.3460,0.00,-0.84,-2.45
0.0183,-0.9384,0.0571,0.3450,-0.49,-1.54,-2.03
0.0195,-0.9335,0.0605,0.3436,0.07,-0.70,-1.96
0.0207,-0.9350,0.0610,0.3455,-0.35,-1.82,-2.38
0.0220,-0.9370,0.0595,0.3470,-0.07,-1.05,-1.68
0.0232,-0.9389,0.0556,0.3460,-0.42,-1.47,-2.17
0.0244,-0.9384,0.0556,0.3479,0.14,-1.12,-1.54
0.0256,-0.9350,0.0571,0.3494,-0.56,-1.75,-2.17
0.0268,-0.9350,0.0566,0.3489,0.14,-1.61,-1.40
0.0280,-0.9384,0.0590,0.3499,-0.42,-1.75,-2.45
0.0280,-0.9399,0.0586,0.3470,0.07,-1.47,-1.26
0.0281,-0.9394,0.0561,0.3479,-0.49,-2.10,-2.24
0.0281,-0.9404,0.0581,0.3528,0.14,-1.54,-1.05
0.0281,-0.9414,0.0590,0.3479,-0.49,-2.03,-2.24
0.0282,-0.9394,0.0576,0.3431,0.14,-1.05,-0.49
0.0282,-0.9365,0.0556,0.3465,-0.63,-1.89,-2.03
0.0282,-0.9374,0.0586,0.3499,0.14,-1.96,-0.91
0.0283,-0.9389,0.0625,0.3504,-0.56,-2.45,-1.75
0.0283,-0.9389,0.0625,0.3489,0.14,-1.61,-0.70
0.0283,-0.9379,0.0615,0.3504,-0.42,-2.38,-1.40
0.0284,-0.9365,0.0610,0.3494,0.28,-1.61,-1.12
0.0284,-0.9404,0.0610,0.3499,-0.42,-2.31,-1.26
0.0284,-0.9418,0.0600,0.3523,0.49,-1.75,-0.77
0.0285,-0.9399,0.0586,0.3514,-0.35,-2.03,-0.98
0.0285,-0.9448,0.0595,0.3489,0.21,-1.61,-0.77
0.0285,-0.9443,0.0620,0.3440,-0.35,-2.38,-0.98
