time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0000,0.6110,0.6676,0.3289,-3.57,2.73,0.91
0.0017,0.6124,0.6720,0.3250,-3.64,3.01,1.47
0.0034,0.6090,0.6651,0.3265,-3.85,2.10,0.56
0.0051,0.6105,0.6647,0.3265,-3.71,2.94,1.40
0.0068,0.6110,0.6676,0.3270,-4.27,2.31,0.77
0.0085,0.6115,0.6700,0.3314,-4.34,3.36,1.89
0.0102,0.6124,0.6686,0.3343,-4.48,2.94,0.91
0.0119,0.6110,0.6686,0.3309,-3.99,2.52,1.61
0.0136,0.6129,0.6695,0.3299,-4.62,2.94,1.40
0.0153,0.6154,0.6690,0.3357,-4.48,2.80,1.96
0.0170,0.6168,0.6725,0.3357,-4.90,3.29,1.61
0.0187,0.6168,0.6744,0.3328,-4.69,3.01,1.96
0.0204,0.6159,0.6730,0.3304,-5.25,3.22,2.10
0.0221,0.6183,0.6754,0.3294,-4.83,2.87,1.82
0.0238,0.6188,0.6773,0.3299,-5.39,3.43,2.45
0.0255,0.6173,0.6749,0.3309,-5.25,2.87,1.82
0.0272,0.6144,0.6734,0.3299,-5.46,3.29,2.87
0.0288,0.6149,0.6705,0.3328,-5.60,3.22,1.89
0.0305,0.6207,0.6671,0.3357,-5.53,3.36,3.08
0.0322,0.6251,0.6676,0.3284,-5.67,3.15,2.38
0.0323,0.6271,0.6695,0.3240,-5.67,3.92,3.29
0.0323,0.6246,0.6749,0.3284,-6.23,2.80,2.17
0.0324,0.6232,0.6764,0.3304,-5.53,3.99,3.64
0.0324,0.6237,0.6744,0.3314,-6.51,3.22,2.66
0.0324,0.6261,0.6749,0.3343,-6.23,3.50,3.36
0.0325,0.6271,0.6744,0.3318,-6.58,3.22,3.08
0.0325,0.6256,0.6759,0.3323,-6.23,3.50,3.43
0.0325,0.6246,0.6788,0.3382,-6.65,3.01,3.08
0.0326,0.6246,0.6793,0.3367,-6.51,3.08,3.57
0.0326,0.6251,0.6778,0.3289,-6.93,3.15,3.64
0.0326,0.6217,0.6788,0.3333,-6.51,3.36,3.57
0.0327,0.6193,0.6808,0.3372,-7.35,3.22,3.64
0.0327,0.6202,0.6793,0.3343,-6.44,3.15,3.50
0.0328,0.6193,0.6808,0.3362,-7.35,3.15,3.78
0.0328,0.6227,0.6842,0.3328,-6.86,3.15,3.85
0.0328,0.6227,0.6861,0.3314,-7.35,3.29,4.06
0.0329,0.6188,0.6866,0.3309,-7.28,3.15,3.57
0.0329,0.6198,0.6832,0.3309,-7.21,3.57,4.06
0.0329,0.6198,0.6837,0.3343,-7.14,3.22,4.06
0.0330,0.6183,0.6876,0.3338,-7.21,3.50,4.06
0.0330,0.6222,0.6881,0.3299,-7.70,3.15,4.06
0.0330,0.6202,0.6871,0.3328,-7.70,3.15,4.41
0.0331,0.6202,0.6847,0.3353,-7.21,3.22,4.62
0.0331,0.6256,0.6817,0.3314,-8.19,2.80,4.20
0.0331,0.6232,0.6827,0.3309,-7.14,3.29,4.62
0.0331,0.6227,0.6866,0.3348,-8.05,2.80,4.34
0.0332,0.6237,0.6876,0.3338,-7.49,3.08,4.69
0.0332,0.6183,0.6837,0.3333,-7.91,3.01,4.27
0.0332,0.6202,0.6847,0.3323,-7.63,2.94,4.90
0.0332,0.6232,0.6881,0.3304,-7.98,2.73,4.48
0.0333,0.6232,0.6886,0.3333,-7.70,2.94,4.90
0.0333,0.6261,0.6886,0.3357,-7.98,2.87,4.48
0.0333,0.6251,0.6900,0.3338,-7.98,2.73,5.18
0.0333,0.6246,0.6876,0.3323,-8.12,2.73,4.76
0.0334,0.6256,0.6847,0.3377,-8.12,2.66,5.18
0.0334,0.6242,0.6891,0.3377,-7.84,2.94,5.04
0.0334,0.6246,0.6944,0.3338,-8.12,2.59,5.18
0.0334,0.6256,0.6930,0.3328,-7.91,3.01,5.25
0.0335,0.6251,0.6920,0.3333,-8.12,2.66,5.18
0.0335,0.6256,0.6930,0.3343,-7.91,2.31,5.04
0.0347,0.6242,0.6920,0.3338,-8.12,2.38,5.53
0.0358,0.6237,0.6925,0.3357,-8.12,2.87,5.39
0.0370,0.6276,0.6944,0.3348,-8.19,2.45,5.39
0.0382,0.6227,0.6969,0.3348,-7.91,2.31,5.04
0.0393,0.6237,0.6974,0.3396,-8.26,2.17,5.04
0.0405,0.6227,0.6978,0.3406,-8.12,2.24,5.60
0.0417,0.6207,0.6988,0.3367,-8.19,2.31,5.39
0.0429,0.6207,0.7003,0.3362,-7.84,2.52,5.53
0.0440,0.6246,0.7008,0.3343,-8.19,2.52,5.32
0.0452,0.6251,0.7003,0.3309,-8.33,2.24,5.32
0.0464,0.6256,0.6978,0.3338,-8.05,2.10,5.46
0.0475,0.6276,0.6949,0.3333,-8.12,2.52,5.67
0.0487,0.6232,0.6988,0.3323,-7.84,2.31,5.67
0.0499,0.6198,0.6978,0.3377,-8.33,2.10,5.46
0.0510,0.6222,0.6978,0.3406,-7.56,2.10,5.74
0.0522,0.6227,0.7017,0.3411,-8.68,2.17,5.39
0.0534,0.6222,0.6998,0.3357,-7.77,2.38,6.30
0.0546,0.6222,0.6988,0.3396,-8.82,1.82,4.97
0.0557,0.6222,0.6978,0.3426,-8.54,1.82,5.18
0.0569,0.6207,0.7003,0.3426,-7.70,2.24,6.02
0.0573,0.6256,0.6998,0.3392,-8.54,2.10,5.60
0.0577,0.6256,0.6993,0.3377,-7.49,2.24,6.09
0.0581,0.6227,0.6993,0.3416,-8.54,1.96,5.25
0.0586,0.6222,0.6998,0.3406,-7.49,2.03,6.16
0.0590,0.6207,0.6998,0.3362,-8.33,1.89,5.39
0.0594,0.6202,0.6978,0.3362,-7.98,1.82,6.02
0.0598,0.6217,0.7013,0.3377,-8.12,1.82,5.39
0.0602,0.6202,0.7022,0.3392,-8.19,1.61,5.95
0.0606,0.6202,0.7008,0.3357,-7.49,1.89,5.39
0.0611,0.6217,0.6983,0.3377,-8.40,1.68,5.74
0.0615,0.6198,0.6983,0.3367,-7.56,2.10,5.88
0.0619,0.6168,0.7017,0.3333,-8.33,2.03,5.88
0.0623,0.6183,0.7047,0.3338,-7.49,1.75,5.95
0.0627,0.6168,0.7017,0.3343,-8.33,1.40,5.81
0.0631,0.6168,0.7013,0.3353,-7.63,2.03,6.09
0.0636,0.6193,0.7056,0.3382,-8.12,1.47,5.53
0.0640,0.6202,0.7032,0.3387,-7.42,2.10,6.44
0.0644,0.6188,0.6998,0.3318,-7.84,1.89,5.53
0.0648,0.6202,0.6969,0.3309,-8.26,1.89,6.16
0.0652,0.6251,0.6988,0.3353,-7.77,1.47,5.60
0.0664,0.6237,0.7037,0.3353,-7.84,1.82,6.16
0.0676,0.6217,0.7003,0.3377,-8.12,1.82,5.95
0.0688,0.6237,0.6983,0.3367,-7.70,1.61,6.09
0.0700,0.6222,0.6998,0.3333,-7.98,1.82,5.88
0.0712,0.6198,0.6983,0.3343,-7.56,1.75,6.58
0.0724,0.6212,0.6974,0.3328,-7.98,1.68,5.46
0.0736,0.6256,0.6978,0.3314,-7.77,2.10,6.65
0.0748,0.6256,0.6964,0.3309,-7.91,1.89,5.60
0.0760,0.6217,0.6974,0.3309,-7.63,1.89,6.37
0.0772,0.6202,0.6964,0.3343,-8.12,1.89,5.88
0.0784,0.6188,0.6959,0.3333,-7.56,1.96,6.30
0.0797,0.6168,0.6949,0.3328,-7.98,2.03,6.30
0.0809,0.6207,0.6934,0.3357,-7.49,1.54,5.81
0.0821,0.6261,0.6964,0.3348,-8.19,2.24,6.65
0.0833,0.4997,0.6934,0.3294,-7.77,1.54,6.09
0.0845,0.6178,0.6930,0.3382,-8.05,1.82,6.23
0.0857,0.6188,0.6915,0.3382,-7.63,1.89,6.58
0.0869,0.6163,0.6930,0.3353,-7.91,1.82,5.67
0.0881,0.6134,0.6915,0.3353,-8.12,1.96,6.93
0.0893,0.6144,0.6886,0.3343,-7.91,1.75,5.53
0.0893,0.6163,0.6891,0.3333,-7.84,2.10,6.79
0.0893,0.6163,0.6886,0.3328,-8.12,1.68,5.60
0.0894,0.6144,0.6866,0.3318,-7.70,2.59,7.21
0.0894,0.6154,0.6856,0.3362,-8.12,1.82,5.32
0.0894,0.6178,0.6881,0.3348,-8.05,2.38,6.93
0.0895,0.6173,0.6886,0.3323,-8.40,1.82,5.53
0.0895,0.6139,0.6856,0.3338,-7.77,2.10,6.79
0.0895,0.6159,0.6861,0.3343,-7.98,1.75,5.60
0.0896,0.6198,0.6861,0.3372,-7.98,2.03,6.79
0.0896,0.6217,0.6866,0.3367,-8.33,2.31,6.09
0.0896,0.6202,0.6856,0.3357,-7.98,1.75,6.51
0.0896,0.6183,0.6856,0.3304,-8.40,2.31,6.51
0.0897,0.6222,0.6852,0.3284,-8.05,2.03,6.23
0.0897,0.6227,0.6842,0.3357,-8.61,1.96,6.30
0.0897,0.6183,0.6871,0.3357,-8.05,1.54,6.16
0.0898,0.6198,0.6886,0.3333,-8.68,2.24,7.14
0.0898,0.6237,0.6905,0.3318,-8.47,1.96,6.02
0.0898,0.6237,0.6910,0.3333,-8.19,2.66,7.42
0.0899,0.6198,0.6856,0.3328,-8.75,2.10,5.88
0.0899,0.6173,0.6842,0.3304,-8.12,2.66,7.70
0.0904,0.6212,0.6842,0.3328,-8.96,1.82,5.67
0.0908,0.6217,0.6861,0.3323,-8.26,2.66,8.05
0.0913,0.6202,0.6886,0.3284,-9.24,1.96,6.09
0.0917,0.6242,0.6861,0.3284,-8.19,2.52,7.91
0.0922,0.6232,0.6876,0.3323,-9.24,2.31,6.09
0.0926,0.6222,0.6891,0.3309,-8.05,2.31,7.70
0.0931,0.6227,0.6856,0.3309,-9.52,2.59,6.30
0.0935,0.6232,0.6861,0.3299,-8.40,2.17,7.49
0.0940,0.6271,0.6871,0.3299,-9.24,2.59,6.79
0.0945,0.6242,0.6812,0.3338,-8.61,2.17,7.21
0.0949,0.6207,0.6798,0.3323,-8.89,2.59,7.07
0.0954,0.6202,0.6822,0.3333,-9.10,2.38,7.49
0.0958,0.6193,0.6837,0.3343,-9.10,2.59,7.14
0.0963,0.6217,0.6847,0.3338,-9.38,2.10,7.07
0.0967,0.6202,0.6837,0.3318,-9.03,3.08,7.98
0.0972,0.6183,0.6798,0.3289,-9.31,2.03,6.72
