time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0000,0.5490,-0.8730,-0.0815,-0.42,0.98,6.79
0.0005,0.5475,-0.8750,-0.0815,0.84,1.40,8.26
0.0011,0.5461,-0.8740,-0.0844,-0.84,1.40,6.79
0.0016,0.5485,-0.8725,-0.0830,0.91,1.47,8.19
0.0021,0.5466,-0.8760,-0.0781,-0.42,1.19,7.07
0.0027,0.5427,-0.8740,-0.0771,0.91,1.61,8.33
0.0032,0.5427,-0.8701,-0.0747,0.35,1.19,7.00
0.0037,0.5451,-0.8696,-0.0756,1.19,1.89,8.54
0.0043,0.5431,-0.8716,-0.0761,0.14,1.54,7.21
0.0048,0.5402,-0.8716,-0.0791,1.12,1.33,8.47
0.0053,0.5427,-0.8696,-0.0815,0.91,1.40,7.70
0.0059,0.5407,-0.8716,-0.0800,1.33,1.75,8.33
0.0064,0.5412,-0.8730,-0.0776,1.12,1.54,7.77
0.0069,0.5456,-0.8725,-0.0791,1.61,1.75,8.33
0.0075,0.5475,-0.8750,-0.0776,1.26,1.68,7.91
0.0080,0.5461,-0.8750,-0.0703,1.33,1.82,7.98
0.0085,0.5446,-0.8716,-0.0688,1.47,1.89,8.40
0.0090,0.5456,-0.8721,-0.0717,1.54,1.82,7.49
0.0096,0.5461,-0.8740,-0.0747,1.75,2.03,8.96
0.0101,0.5470,-0.8701,-0.0786,1.54,1.82,7.21
0.0110,0.5441,-0.8682,-0.0795,1.89,2.73,9.38
0.0118,0.5407,-0.8682,-0.0752,1.61,1.75,6.93
0.0127,0.5446,-0.8667,-0.0722,2.31,2.52,9.17
0.0135,0.5461,-0.8672,-0.0747,1.68,2.17,7.21
0.0144,0.5456,-0.8672,-0.0752,2.38,2.45,9.10
0.0152,0.5436,-0.8706,-0.0742,1.75,1.89,7.21
0.0161,0.5417,-0.8725,-0.0776,2.73,2.66,8.75
0.0170,0.5431,-0.8677,-0.0756,1.96,2.31,7.49
0.0178,0.5427,-0.8642,-0.0703,2.80,2.45,8.47
0.0187,0.5422,-0.8677,-0.0708,2.24,2.87,8.33
0.0195,0.5427,-0.8672,-0.0683,3.01,2.31,7.63
0.0204,0.5383,-0.8672,-0.0688,2.10,2.87,8.54
0.0212,0.5417,-0.8701,-0.0742,3.08,2.59,7.70
0.0221,0.5461,-0.8686,-0.0727,2.59,2.80,8.68
0.0229,0.5436,-0.8667,-0.0722,3.08,2.94,7.42
0.0238,0.5422,-0.8691,-0.0761,2.66,3.29,8.68
0.0246,0.5392,-0.8730,-0.0742,2.94,2.94,7.28
0.0255,0.5397,-0.8721,-0.0698,3.15,2.59,8.75
0.0264,0.5422,-0.8691,-0.0708,2.87,3.29,7.35
0.0272,0.5417,-0.8691,-0.0742,3.36,3.64,8.61
0.0274,0.5407,-0.8677,-0.0727,3.08,3.15,7.42
0.0277,0.5417,-0.8638,-0.0712,3.64,3.43,8.61
0.0279,0.5417,-0.8647,-0.0712,2.87,3.50,7.35
0.0281,0.5407,-0.8657,-0.0752,3.57,3.71,8.61
0.0284,0.5363,-0.8662,-0.0771,3.08,3.85,7.77
0.0286,0.5363,-0.8672,-0.0722,4.06,3.71,8.19
0.0288,0.5397,-0.8667,-0.0693,3.36,3.78,7.77
0.0291,0.5402,-0.8667,-0.0673,3.85,4.27,8.61
0.0293,0.5388,-0.8667,-0.0703,3.43,3.78,7.63
0.0295,0.5378,-0.8677,-0.0683,3.92,4.20,8.12
0.0297,0.5392,-0.8677,-0.0634,3.85,4.20,7.77
0.0300,0.5353,-0.8652,-0.0634,3.71,4.41,8.19
0.0302,0.5339,-0.8672,-0.0620,3.99,4.20,7.77
0.0304,0.5353,-0.8706,-0.0595,3.85,4.48,7.91
0.0307,0.5334,-0.8686,-0.0625,4.34,4.55,7.91
0.0309,0.5348,-0.8672,-0.0649,3.99,4.55,7.91
0.0311,0.5348,-0.8686,-0.0625,4.20,5.18,8.33
0.0314,0.5324,-0.8701,-0.0605,4.20,5.18,7.84
0.0316,0.5314,-0.8706,-0.0639,4.62,5.11,8.33
0.0318,0.5344,-0.8711,-0.0625,4.20,4.69,7.49
0.0324,0.5334,-0.8706,-0.0625,4.34,5.60,8.68
0.0330,0.5329,-0.8696,-0.0659,4.62,4.83,7.28
0.0336,0.5314,-0.8686,-0.0630,4.27,5.81,8.47
0.0342,0.5275,-0.8682,-0.0595,4.48,5.39,7.91
0.0348,0.5305,-0.8706,-0.0595,4.69,5.81,8.47
0.0355,0.5295,-0.8716,-0.0610,4.41,5.25,7.70
0.0361,0.5261,-0.8696,-0.0605,4.62,5.95,8.75
0.0367,0.5231,-0.8662,-0.0586,4.55,6.09,8.12
0.0373,0.5246,-0.8672,-0.0581,4.83,6.09,8.05
0.0379,0.5275,-0.8691,-0.0590,4.62,6.23,8.26
0.0385,0.5280,-0.8686,-0.0556,4.90,6.37,8.47
0.0391,0.5275,-0.8691,-0.0576,4.97,6.58,8.75
0.0397,0.5241,-0.8730,-0.0576,4.69,6.44,8.33
0.0403,0.5222,-0.8735,-0.0561,4.90,7.14,8.96
0.0409,0.5246,-0.8730,-0.0586,5.11,6.16,8.05
0.0415,0.5231,-0.8755,-0.0586,4.97,7.49,9.24
0.0421,0.5217,-0.8760,-0.0556,4.97,6.86,8.19
0.0427,0.5236,-0.8760,-0.0493,4.90,7.28,9.38
0.0433,0.5226,-0.8745,-0.0493,4.97,6.93,8.26
0.0439,0.5246,-0.8784,-0.0537,4.90,8.12,9.52
0.0447,0.5236,-0.8823,-0.0547,4.97,7.42,8.82
0.0455,0.5236,-0.8823,-0.0551,5.04,7.77,9.45
0.0463,0.5226,-0.8808,-0.0561,5.25,7.77,9.10
0.0471,0.5207,-0.8808,-0.0537,5.39,8.26,8.96
0.0479,0.5202,-0.8823,-0.0532,5.11,8.19,9.24
0.0488,0.5207,-0.8818,-0.0542,5.46,8.19,9.03
0.0496,0.5236,-0.8828,-0.0551,5.04,8.47,9.59
0.0504,0.5256,-0.8847,-0.0537,5.32,8.33,9.10
0.0512,0.5256,-0.8857,-0.0493,4.97,8.68,9.80
0.0520,0.5275,-0.8872,-0.0517,5.46,8.54,9.10
0.0528,0.5300,-0.8833,-0.0576,5.18,9.03,9.87
0.0536,0.5275,-0.8818,-0.0590,5.25,8.54,9.31
0.0544,0.5261,-0.8838,-0.0537,5.18,9.31,10.22
0.0552,0.5256,-0.8794,-0.0527,5.04,9.66,9.80
0.0560,0.5275,-0.8828,-0.0566,5.53,8.61,9.59
0.0568,0.5334,-0.8818,-0.0566,4.90,9.38,9.66
0.0576,0.5348,-0.8833,-0.0551,5.67,9.38,9.87
0.0584,0.5319,-0.8808,-0.0556,4.90,10.29,10.29
0.0592,0.5295,-0.8828,-0.0547,5.11,9.87,9.59
0.0600,0.5261,-0.8843,-0.0547,5.18,10.29,10.36
0.0603,0.5290,-0.8838,-0.0561,5.32,9.73,9.66
0.0606,0.5324,-0.8823,-0.0551,5.04,10.36,10.64
0.0609,0.5295,-0.8833,-0.0556,5.39,10.29,9.59
0.0612,0.5275,-0.8877,-0.0566,5.04,10.92,10.57
0.0614,0.5256,-0.8867,-0.0561,4.97,10.15,9.38
0.0617,0.5290,-0.8882,-0.0532,5.25,10.85,10.64
0.0620,0.5344,-0.8882,-0.0532,4.90,10.57,9.73
0.0623,0.5348,-0.8872,-0.0551,5.32,11.13,10.57
0.0625,0.5314,-0.8891,-0.0542,4.97,11.20,9.87
0.0628,0.5324,-0.8916,-0.0522,5.39,11.13,10.57
0.0631,0.5378,-0.8935,-0.0517,4.90,11.48,10.29
0.0634,0.5339,-0.8930,-0.0571,5.60,11.34,10.43
0.0637,0.5285,-0.8891,-0.0586,4.62,11.48,10.36
0.0639,0.5270,-0.8867,-0.0537,4.90,11.62,10.22
0.0642,0.5251,-0.8891,-0.0512,4.69,11.97,10.64
0.0645,0.5236,-0.8891,-0.0493,5.46,11.97,10.50
0.0648,0.5275,-0.8891,-0.0508,4.97,11.48,10.57
0.0651,0.5285,-0.8891,-0.0551,5.25,12.18,10.57
0.0653,0.5251,-0.8891,-0.0532,4.69,11.90,10.71
0.0656,0.5275,-0.8896,-0.0542,5.11,12.60,10.71
0.0662,0.5314,-0.8906,-0.0556,4.76,12.11,10.99
0.0667,0.5339,-0.8930,-0.0488,4.90,12.25,10.64
0.0673,0.5319,-0.8950,-0.0449,4.83,12.39,10.99
0.0679,0.5295,-0.8965,-0.0478,4.90,12.88,10.85
0.0685,0.5261,-0.8965,-0.0508,4.76,12.53,11.34
0.0690,0.5270,-0.8940,-0.0459,4.48,12.74,10.85
0.0696,0.5344,-0.8926,-0.0444,5.18,12.53,11.62
0.0702,0.5348,-0.8916,-0.0478,4.55,13.09,11.06
0.0707,0.5305,-0.8911,-0.0464,5.04,13.02,11.62
0.0713,0.5324,-0.8945,-0.0454,4.27,13.02,11.41
0.0719,0.5358,-0.8935,-0.0483,5.18,13.44,11.69
0.0724,0.5383,-0.8916,-0.0478,4.41,13.16,11.62
0.0730,0.5383,-0.8926,-0.0464,5.11,13.44,11.48
0.0736,0.5392,-0.8911,-0.0464,4.55,13.37,11.97
0.0741,0.5407,-0.8901,-0.0415,4.41,13.23,11.34
0.0747,0.5407,-0.8930,-0.0405,4.62,13.58,12.25
0.0753,0.5427,-0.8950,-0.0444,4.34,13.09,11.13
0.0758,0.5417,-0.8955,-0.0478,4.48,14.00,12.39
0.0764,0.5402,-0.8955,-0.0498,4.48,13.86,11.62
0.0770,0.5427,-0.8916,-0.0498,4.90,13.65,12.39
0.0776,0.5451,-0.8906,-0.0468,3.92,13.72,11.83
0.0781,0.5446,-0.8940,-0.0498,4.76,13.51,12.39
0.0787,0.5475,-0.8940,-0.0493,4.20,14.14,12.18
0.0793,0.5510,-0.8911,-0.0464,4.41,13.44,11.90
0.0799,0.5510,-0.8906,-0.0493,4.34,14.49,12.60
0.0805,0.5500,-0.8906,-0.0498,4.41,13.86,12.11
0.0811,0.5466,-0.8896,-0.0464,4.48,14.14,12.74
0.0817,0.5461,-0.8882,-0.0429,4.20,13.79,12.39
0.0822,0.5519,-0.8891,-0.0483,4.41,14.28,12.46
0.0828,0.5539,-0.8862,-0.0473,4.34,14.91,12.95
0.0834,0.5524,-0.8823,-0.0483,4.34,13.79,12.11
0.0840,0.5544,-0.8823,-0.0468,4.06,14.63,13.02
0.0846,0.5514,-0.8813,-0.0483,3.99,13.93,12.18
0.0852,0.5475,-0.8833,-0.0561,4.41,14.49,13.16
0.0858,0.5539,-0.8852,-0.0571,3.64,13.86,12.11
0.0863,0.5568,-0.8862,-0.0532,4.48,14.49,13.44
0.0869,0.5563,-0.8838,-0.0493,3.85,14.21,12.25
0.0875,0.5553,-0.8813,-0.0483,4.62,14.42,13.09
0.0881,0.5529,-0.8799,-0.0488,3.64,14.14,12.39
0.0887,0.5558,-0.8818,-0.0464,4.48,14.07,13.02
0.0892,0.5563,-0.8847,-0.0390,3.99,14.35,12.74
0.0898,0.5549,-0.8823,-0.0429,4.27,14.07,12.88
0.0903,0.5563,-0.8784,-0.0473,3.64,14.42,13.16
0.0909,0.5578,-0.8779,-0.0454,4.48,13.72,12.25
0.0915,0.5602,-0.8794,-0.0483,4.20,14.70,13.44
0.0920,0.5617,-0.8779,-0.0503,4.27,14.28,13.09
0.0926,0.5607,-0.8735,-0.0488,4.34,14.07,13.16
0.0931,0.5627,-0.8716,-0.0512,3.85,13.79,12.46
0.0937,0.5622,-0.8730,-0.0493,4.48,14.14,13.30
0.0942,0.5612,-0.8740,-0.0517,4.41,14.00,13.37
0.0948,0.5607,-0.8735,-0.0542,4.20,13.93,13.02
0.0953,0.5622,-0.8725,-0.0473,4.34,14.28,13.44
0.0959,0.5622,-0.8730,-0.0454,3.99,13.86,12.88
0.0964,0.5617,-0.8706,-0.0468,4.20,14.49,13.58
0.0970,0.5617,-0.8691,-0.0473,4.20,14.21,13.16
0.0976,0.5622,-0.8682,-0.0454,4.27,13.72,13.44
0.0981,0.5622,-0.8691,-0.0439,4.41,13.72,13.30
0.0987,0.5632,-0.8701,-0.0478,4.06,14.14,13.30
0.0992,0.5612,-0.8701,-0.0483,4.55,13.93,13.65
0.0998,0.5588,-0.8701,-0.0454,4.06,13.37,13.09
0.1003,0.5597,-0.8686,-0.0454,4.48,13.93,13.65
0.1009,0.5607,-0.8701,-0.0478,4.27,13.58,13.37
0.1015,0.5617,-0.8706,-0.0488,4.69,13.86,13.86
0.1020,0.5641,-0.8701,-0.0508,4.20,13.37,13.09
0.1026,0.5646,-0.8711,-0.0483,4.55,14.35,14.07
0.1031,0.5671,-0.8721,-0.0444,4.41,13.58,13.09
0.1037,0.5646,-0.8706,-0.0420,4.27,13.23,13.86
0.1042,0.5607,-0.8662,-0.0400,4.41,13.65,13.23
0.1048,0.5632,-0.8642,-0.0390,4.34,13.23,13.44
0.1054,0.5632,-0.8638,-0.0405,4.62,13.79,13.44
0.1059,0.5622,-0.8642,-0.0410,4.41,13.51,13.51
0.1065,0.5646,-0.8652,-0.0429,4.69,13.09,13.30
0.1070,0.5641,-0.8667,-0.0449,4.20,13.65,13.44
0.1076,0.5622,-0.8716,-0.0434,4.90,13.30,13.86
0.1081,0.5651,-0.8711,-0.0429,4.69,13.16,13.51
0.1087,0.5632,-0.8667,-0.0425,4.83,13.02,13.79
0.1093,0.5622,-0.8682,-0.0439,4.48,13.51,13.23
0.1098,0.5636,-0.8696,-0.0449,4.97,12.95,14.00
0.1104,0.5636,-0.8691,-0.0468,4.76,13.09,13.09
0.1109,0.5641,-0.8667,-0.0478,4.55,12.81,13.79
0.1115,0.5656,-0.8667,-0.0454,4.83,12.74,13.02
0.1121,0.5661,-0.8686,-0.0478,4.62,12.81,13.86
0.1127,0.5622,-0.8706,-0.0493,4.69,12.60,13.16
0.1133,0.5617,-0.8696,-0.0473,4.76,12.53,13.44
0.1139,0.5622,-0.8667,-0.0464,4.83,12.53,13.37
0.1144,0.5622,-0.8667,-0.0439,5.39,12.60,13.65
0.1150,0.5617,-0.8662,-0.0449,4.48,12.74,13.58
0.1156,0.5592,-0.8647,-0.0459,5.11,11.97,13.37
0.1162,0.5612,-0.8638,-0.0429,4.97,12.81,14.00
0.1168,0.5636,-0.8623,-0.0434,5.32,12.46,13.23
0.1174,0.5641,-0.8589,-0.0464,5.04,12.18,14.00
0.1179,0.5636,-0.8589,-0.0503,5.18,12.39,13.51
0.1185,0.5612,-0.8633,-0.0517,4.97,12.39,13.86
0.1191,0.5622,-0.8628,-0.0493,5.32,12.53,13.51
0.1197,0.5651,-0.8628,-0.0473,5.32,12.32,14.28
0.1203,0.5646,-0.8628,-0.0464,5.18,12.11,13.23
0.1209,0.5641,-0.8584,-0.0444,5.53,11.90,13.72
0.1214,0.5627,-0.8555,-0.0420,5.11,12.11,13.44
0.1220,0.5641,-0.8560,-0.0434,5.39,12.11,13.79
0.1226,0.5671,-0.8574,-0.0464,5.46,11.97,13.51
0.1238,0.5607,-0.8589,-0.0493,5.88,11.55,13.72
0.1249,0.5612,-0.8560,-0.0439,6.02,11.69,13.93
0.1261,0.5597,-0.8560,-0.0386,5.81,11.27,13.51
0.1272,0.5617,-0.8525,-0.0405,6.02,11.41,14.07
0.1284,0.5612,-0.8520,-0.0459,6.09,11.83,13.58
0.1296,0.5588,-0.8511,-0.0444,6.23,11.27,14.21
0.1307,0.5607,-0.8516,-0.0429,5.74,11.20,13.44
0.1319,0.5636,-0.8506,-0.0449,6.02,11.41,14.28
0.1330,0.5646,-0.8486,-0.0439,6.23,11.34,13.09
0.1342,0.5641,-0.8467,-0.0468,6.37,11.34,14.42
0.1354,0.5646,-0.8486,-0.0449,6.23,11.06,13.09
0.1365,0.5666,-0.8525,-0.0415,6.65,11.20,13.93
0.1377,0.5622,-0.8486,-0.0415,6.44,11.06,13.23
0.1388,0.5597,-0.8477,-0.0415,6.65,10.85,13.86
0.1400,0.5617,-0.8486,-0.0410,6.23,10.64,13.16
0.1412,0.5632,-0.8423,-0.0395,6.86,10.85,13.65
