time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0000,0.9638,0.3079,0.0483,1.68,-0.91,-2.03
0.0006,0.9623,0.3099,0.0508,1.96,-1.26,-1.61
0.0012,0.9584,0.3123,0.0512,1.54,-0.91,-1.61
0.0018,0.9560,0.3094,0.0493,1.82,-1.33,-1.61
0.0024,0.9565,0.3094,0.0478,1.75,-1.19,-1.75
0.0030,0.9584,0.3113,0.0439,1.96,-1.68,-1.82
0.0036,0.9604,0.3152,0.0434,1.68,-1.33,-1.82
0.0042,0.9643,0.3152,0.0468,1.89,-1.75,-1.82
0.0048,0.9633,0.3148,0.0454,1.82,-1.19,-1.61
0.0053,0.9614,0.3123,0.0483,1.96,-1.82,-2.10
0.0059,0.9653,0.3123,0.0483,1.68,-1.75,-1.61
0.0065,0.9614,0.3187,0.0425,2.10,-1.75,-2.73
0.0071,0.9623,0.3182,0.0449,1.75,-1.89,-1.54
0.0077,0.9599,0.3167,0.0444,2.31,-1.68,-2.31
0.0083,0.9609,0.3143,0.0449,2.10,-1.68,-1.96
0.0089,0.9633,0.3128,0.0454,1.75,-2.31,-2.38
0.0095,0.9609,0.3152,0.0488,2.24,-1.68,-1.68
0.0101,0.9604,0.3172,0.0478,2.03,-2.66,-2.45
0.0107,0.9638,0.3133,0.0420,1.89,-1.33,-1.47
0.0113,0.9623,0.3148,0.0444,2.10,-2.52,-2.87
0.0123,0.9589,0.3192,0.0478,2.17,-1.82,-1.68
0.0133,0.9570,0.3206,0.0454,1.82,-2.80,-3.01
0.0142,0.9604,0.3206,0.0449,2.24,-2.10,-1.54
0.0152,0.9609,0.3177,0.0420,1.96,-2.73,-2.94
0.0162,0.9589,0.3187,0.0429,2.24,-2.45,-2.31
0.0172,0.9579,0.3182,0.0488,1.96,-2.87,-2.94
0.0182,0.9599,0.3152,0.0483,2.38,-2.38,-2.45
0.0192,0.9623,0.3172,0.0493,2.03,-2.66,-2.94
0.0201,0.9614,0.3187,0.0483,2.38,-2.94,-2.73
0.0211,0.9604,0.3182,0.0464,1.82,-2.80,-3.01
0.0221,0.9594,0.3167,0.0434,2.45,-2.66,-2.59
0.0231,0.9604,0.3196,0.0449,2.17,-2.94,-2.73
0.0241,0.9609,0.3211,0.0493,2.59,-3.15,-3.36
0.0250,0.9628,0.3201,0.0459,1.96,-2.80,-2.66
0.0260,0.9638,0.3255,0.0439,2.24,-2.73,-3.36
0.0270,0.9614,0.3260,0.0449,2.52,-2.52,-2.31
0.0280,0.9623,0.3240,0.0478,2.38,-3.01,-3.22
0.0290,0.9618,0.3270,0.0488,2.52,-2.94,-3.15
0.0300,0.9579,0.3260,0.0473,2.17,-3.08,-3.50
0.0309,0.9560,0.3235,0.0493,2.59,-3.01,-3.01
0.0317,0.9550,0.3260,0.0488,2.17,-3.50,-3.64
0.0324,0.9570,0.3294,0.0468,2.59,-3.29,-3.29
0.0332,0.9594,0.3284,0.0459,2.31,-3.15,-3.71
0.0339,0.9575,0.3314,0.0459,2.80,-3.36,-3.15
0.0346,0.9545,0.3318,0.0498,2.52,-3.29,-3.92
0.0354,0.9550,0.3284,0.0488,2.80,-3.36,-3.57
0.0361,0.9594,0.3314,0.0464,2.52,-3.01,-3.71
0.0368,0.9570,0.3333,0.0468,2.73,-3.43,-3.64
0.0376,0.9550,0.3362,0.0473,2.66,-3.15,-3.78
0.0383,0.9560,0.3353,0.0459,3.01,-3.43,-3.64
0.0391,0.9555,0.3328,0.0468,2.94,-3.50,-4.20
0.0398,0.9536,0.3362,0.0483,2.87,-3.57,-3.78
0.0405,0.9496,0.3357,0.0449,3.08,-3.64,-4.27
0.0413,0.9496,0.3328,0.0439,2.59,-3.43,-4.06
0.0420,0.9540,0.3377,0.0478,3.15,-3.29,-3.99
0.0428,0.9536,0.3348,0.0498,2.87,-3.85,-4.62
0.0435,0.9501,0.3304,0.0464,3.43,-3.08,-3.78
0.0442,0.9516,0.3338,0.0434,3.08,-3.85,-4.76
0.0450,0.9521,0.3314,0.0405,3.57,-3.29,-4.27
0.0457,0.9526,0.3323,0.0429,3.22,-3.71,-4.90
0.0459,0.9531,0.3333,0.0464,3.29,-3.22,-4.41
0.0461,0.9540,0.3353,0.0444,3.22,-3.71,-5.11
0.0463,0.9531,0.3367,0.0464,3.50,-3.57,-4.48
0.0465,0.9531,0.3353,0.0508,3.15,-3.64,-5.04
0.0467,0.9540,0.3338,0.0483,3.92,-3.50,-4.62
0.0469,0.9540,0.3318,0.0449,3.29,-3.22,-5.25
0.0471,0.9521,0.3338,0.0459,3.85,-3.92,-5.25
0.0474,0.9501,0.3382,0.0429,3.43,-3.15,-5.32
0.0476,0.9492,0.3392,0.0449,3.85,-3.85,-5.46
0.0478,0.9511,0.3343,0.0478,3.92,-3.15,-5.11
0.0480,0.9526,0.3333,0.0439,3.78,-3.71,-5.74
0.0482,0.9496,0.3328,0.0478,3.71,-3.01,-5.11
0.0484,0.9462,0.3348,0.0547,3.99,-3.92,-6.30
0.0486,0.9448,0.3348,0.0542,3.85,-2.66,-4.97
0.0488,0.9443,0.3314,0.0503,3.92,-3.99,-6.65
0.0490,0.9453,0.3314,0.0454,3.78,-2.80,-5.53
0.0492,0.9482,0.3309,0.0473,3.92,-3.64,-6.79
0.0494,0.9501,0.3314,0.0493,3.92,-3.43,-5.81
0.0496,0.9501,0.3314,0.0488,3.85,-2.94,-6.51
0.0498,0.9511,0.3357,0.0522,4.06,-3.29,-6.23
0.0508,0.9492,0.3348,0.0537,4.06,-2.87,-6.72
0.0517,0.9457,0.3309,0.0517,3.85,-3.78,-6.58
0.0527,0.9492,0.3338,0.0522,4.20,-2.38,-6.72
0.0536,0.9506,0.3343,0.0532,4.20,-3.43,-7.21
0.0546,0.9477,0.3328,0.0542,4.13,-2.87,-6.65
0.0555,0.9467,0.3304,0.0556,4.06,-3.22,-7.70
0.0565,0.9453,0.3309,0.0571,4.27,-2.59,-7.00
0.0574,0.9462,0.3333,0.0620,3.85,-3.43,-7.63
0.0584,0.9453,0.3338,0.0590,4.20,-2.52,-7.35
0.0593,0.9423,0.3309,0.0586,4.13,-3.15,-7.98
0.0603,0.9448,0.3318,0.0615,4.20,-2.66,-7.91
0.0612,0.9433,0.3338,0.0610,4.13,-2.59,-7.84
0.0622,0.9399,0.3343,0.0595,4.06,-3.43,-8.75
0.0631,0.9409,0.3314,0.0630,4.27,-2.24,-7.70
0.0641,0.9428,0.3294,0.0625,4.13,-2.87,-8.40
0.0650,0.9423,0.3333,0.0595,4.62,-2.73,-8.12
0.0660,0.9423,0.3353,0.0615,3.99,-2.59,-8.68
0.0669,0.9438,0.3338,0.0649,4.48,-2.10,-8.54
0.0679,0.9374,0.3343,0.0644,4.06,-2.45,-8.82
0.0688,0.9360,0.3343,0.0659,4.76,-2.10,-8.82
0.0689,0.9394,0.3318,0.0639,4.06,-2.24,-8.96
0.0689,0.9374,0.3309,0.0630,4.41,-2.45,-9.17
0.0690,0.9360,0.3333,0.0678,4.27,-1.54,-8.89
0.0690,0.9335,0.3357,0.0664,3.92,-2.31,-9.45
0.0691,0.9321,0.3318,0.0634,4.62,-1.75,-9.17
0.0691,0.9340,0.3304,0.0644,4.13,-2.03,-9.45
0.0692,0.9345,0.3338,0.0615,4.69,-1.47,-9.17
0.0692,0.9360,0.3323,0.0590,4.06,-2.45,-9.87
0.0692,0.9370,0.3333,0.0630,4.55,-1.47,-9.38
0.0693,0.9345,0.3377,0.0644,3.92,-1.89,-9.94
0.0693,0.9340,0.3353,0.0649,4.34,-1.05,-9.59
0.0694,0.9345,0.3343,0.0630,3.78,-1.54,-10.22
0.0694,0.9355,0.3367,0.0649,4.13,-0.84,-9.73
0.0695,0.9360,0.3367,0.0678,4.06,-1.19,-10.08
0.0695,0.9355,0.3348,0.0610,4.34,-0.91,-9.87
0.0696,0.9360,0.3328,0.0595,4.13,-0.84,-10.15
0.0696,0.9374,0.3367,0.0634,4.55,-0.77,-9.94
0.0697,0.9374,0.3392,0.0639,4.27,-0.70,-10.08
0.0697,0.9355,0.3367,0.0644,4.06,-0.49,-10.15
0.0697,0.9335,0.3367,0.0634,4.27,-0.56,-10.15
0.0702,0.9335,0.3382,0.0625,4.13,-0.98,-10.22
0.0707,0.9350,0.3333,0.0644,4.27,-0.28,-10.15
0.0712,0.9326,0.3289,0.0644,3.78,-0.56,-10.64
0.0717,0.9331,0.3309,0.0615,3.92,0.07,-10.01
0.0722,0.9340,0.3299,0.0610,4.20,-0.49,-10.64
0.0727,0.9326,0.3323,0.0639,4.13,0.07,-10.29
0.0732,0.9345,0.3343,0.0654,4.06,-0.49,-10.57
0.0737,0.9335,0.3294,0.0654,3.92,0.49,-9.80
0.0742,0.9306,0.3279,0.0649,3.85,-0.49,-10.71
0.0747,0.9311,0.3279,0.0678,4.06,0.91,-10.15
0.0752,0.9296,0.3265,0.0673,3.85,0.98,-10.22
0.0757,0.9321,0.3270,0.0698,3.64,0.14,-10.71
0.0762,0.9345,0.3250,0.0698,3.99,1.33,-9.94
0.0767,0.9345,0.3226,0.0708,3.43,0.14,-10.64
0.0772,0.9345,0.3231,0.0722,3.57,1.33,-10.15
0.0777,0.9345,0.3255,0.0717,3.57,-0.07,-11.06
0.0782,0.9311,0.3265,0.0717,3.85,1.54,-10.01
0.0787,0.9301,0.3216,0.0693,3.29,0.63,-10.57
0.0792,0.9331,0.3201,0.0693,3.92,1.54,-10.01
0.0797,0.9355,0.3226,0.0722,3.22,0.98,-10.85
0.0802,0.9350,0.3211,0.0717,3.78,1.75,-10.08
0.0807,0.9306,0.3211,0.0712,2.94,1.05,-10.64
0.0813,0.9292,0.3240,0.0717,3.64,1.82,-9.94
0.0818,0.9321,0.3206,0.0747,2.94,1.54,-10.71
0.0824,0.9326,0.3162,0.0742,3.57,2.17,-9.94
0.0829,0.9331,0.3177,0.0737,2.80,1.68,-10.71
0.0834,0.9394,0.3172,0.0742,2.52,2.52,-10.15
0.0840,0.9340,0.3177,0.0742,3.08,1.54,-10.64
0.0845,0.9306,0.3157,0.0722,2.59,2.31,-10.36
0.0851,0.9335,0.3143,0.0732,3.01,2.24,-10.22
0.0856,0.9355,0.3143,0.0698,2.73,2.73,-10.15
0.0861,0.9340,0.3138,0.0708,2.59,2.38,-10.15
0.0867,0.9350,0.3157,0.0742,2.73,2.45,-10.29
0.0872,0.9311,0.3157,0.0742,2.59,2.10,-10.29
0.0878,0.9316,0.3157,0.0737,2.38,2.73,-10.15
0.0883,0.9355,0.3177,0.0766,2.24,2.52,-10.29
0.0888,0.9350,0.3152,0.0795,2.17,3.08,-9.87
0.0894,0.9360,0.3148,0.0776,2.31,2.66,-10.57
0.0899,0.9331,0.3157,0.0742,2.45,3.01,-10.01
0.0905,0.9306,0.3182,0.0737,1.96,3.50,-10.36
0.0910,0.9311,0.3187,0.0766,2.31,3.15,-9.87
0.0915,0.9311,0.3172,0.0786,2.24,3.15,-10.57
0.0920,0.9321,0.3148,0.0791,1.82,3.08,-9.73
0.0926,0.9292,0.3123,0.0737,2.03,3.64,-10.29
0.0931,0.9272,0.3133,0.0766,1.89,3.50,-9.66
0.0936,0.9282,0.3187,0.0708,1.54,3.43,-9.73
0.0942,0.9316,0.3201,0.0742,1.89,3.85,-10.15
0.0947,0.9345,0.3177,0.0742,1.75,3.64,-9.38
0.0952,0.9345,0.3177,0.0756,1.68,3.71,-9.94
0.0958,0.9350,0.3182,0.0766,1.47,3.71,-9.31
0.0963,0.9384,0.3187,0.0781,1.68,3.50,-10.08
0.0968,0.9384,0.3211,0.0786,1.61,3.92,-9.59
0.0974,0.9384,0.3206,0.0756,1.61,3.71,-9.24
0.0979,0.9394,0.3206,0.0737,1.54,3.92,-9.66
0.0984,0.9394,0.3206,0.0717,1.61,3.64,-9.45
0.0990,0.9340,0.3187,0.0752,1.33,4.13,-9.38
0.0995,0.9350,0.3177,0.0795,1.47,3.99,-9.38
0.1000,0.9360,0.3216,0.0800,1.40,4.20,-9.38
0.1006,0.9335,0.3245,0.0756,1.19,4.20,-8.89
0.1011,0.9370,0.3216,0.0727,1.68,3.99,-9.31
0.1026,0.9384,0.3235,0.0737,1.05,4.48,-8.75
0.1042,0.9384,0.3250,0.0742,1.54,3.92,-8.82
0.1057,0.9370,0.3231,0.0776,1.12,4.20,-8.82
0.1073,0.9370,0.3240,0.0771,1.47,4.20,-8.82
0.1088,0.9360,0.3255,0.0771,1.19,4.34,-8.61
0.1103,0.9360,0.3255,0.0825,1.19,4.34,-8.68
0.1119,0.9394,0.3245,0.0830,1.05,4.41,-8.26
0.1134,0.9379,0.3255,0.0795,1.40,4.34,-8.82
0.1150,0.9370,0.3274,0.0781,0.98,4.34,-7.84
0.1165,0.9394,0.3270,0.0805,1.40,4.62,-8.75
0.1180,0.9409,0.3274,0.0815,0.98,4.27,-7.84
0.1196,0.9384,0.3240,0.0786,1.47,4.62,-8.68
0.1211,0.9370,0.3226,0.0805,0.35,4.34,-7.63
0.1227,0.9374,0.3284,0.0825,1.47,4.62,-8.61
0.1242,0.9365,0.3284,0.0844,0.84,4.34,-7.63
0.1257,0.9365,0.3255,0.0859,1.40,4.62,-8.40
0.1273,0.9394,0.3284,0.0830,0.98,4.20,-7.49
0.1288,0.9404,0.3333,0.0800,1.05,4.55,-8.40
0.1304,0.9374,0.3338,0.0781,1.33,4.13,-7.91
