time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000000,-0.5617,-0.8481,-0.0942,2.10,-2.87,-0.56
0.000593,-0.5627,-0.8452,-0.0922,2.17,-3.08,-0.70
0.001190,-0.5656,-0.8481,-0.0966,1.12,-3.01,1.19
0.001787,-0.5695,-0.8516,-0.0956,2.38,-2.94,-0.77
0.002384,-0.5724,-0.8491,-0.0908,1.19,-2.73,1.19
0.002981,-0.5739,-0.8472,-0.0917,2.24,-3.22,-1.12
0.003578,-0.5690,-0.8472,-0.0908,1.40,-2.73,1.05
0.004175,-0.5666,-0.8506,-0.0888,1.96,-2.87,-1.40
0.004772,-0.5685,-0.8525,-0.0922,1.82,-3.22,1.12
0.005369,-0.5675,-0.8516,-0.0942,1.96,-2.94,-1.68
0.005966,-0.5661,-0.8516,-0.0976,1.89,-3.01,1.12
0.006563,-0.5671,-0.8491,-0.0966,1.96,-3.43,-1.61
0.007160,-0.5671,-0.8457,-0.0893,2.24,-3.01,0.77
0.007757,-0.5671,-0.8442,-0.0874,2.38,-3.29,-1.68
0.008354,-0.5656,-0.8467,-0.0922,2.17,-2.80,0.42
0.008951,-0.5636,-0.8491,-0.0956,2.52,-3.71,-2.31
0.009548,-0.5636,-0.8447,-0.0966,2.31,-2.59,0.70
0.010145,-0.5661,-0.8467,-0.0932,2.24,-3.36,-1.89
0.010742,-0.5656,-0.8520,-0.0908,2.31,-2.80,0.49
0.011714,-0.5646,-0.8496,-0.0917,2.38,-3.22,-2.31
0.012311,-0.5632,-0.8447,-0.0922,2.59,-3.08,0.42
0.012908,-0.5612,-0.8403,-0.0917,2.73,-3.22,-2.80
0.013505,-0.5656,-0.8428,-0.0913,2.80,-2.87,0.70
0.014102,-0.5641,-0.8486,-0.0903,2.52,-3.22,-2.52
0.014699,-0.5612,-0.8452,-0.0878,3.15,-3.01,0.28
0.015296,-0.5661,-0.8418,-0.0898,2.38,-3.15,-2.87
0.015893,-0.5646,-0.8413,-0.0903,3.57,-3.08,0.21
0.016490,-0.5607,-0.8457,-0.0913,2.31,-3.29,-2.80
0.017087,-0.5646,-0.8477,-0.0956,3.57,-3.08,0.28
0.017684,-0.5675,-0.8462,-0.0932,2.24,-3.36,-2.45
0.018281,-0.5666,-0.8433,-0.0878,3.64,-3.08,0.07
0.018878,-0.5661,-0.8418,-0.0888,2.38,-3.29,-2.38
0.019475,-0.5641,-0.8423,-0.0917,3.64,-2.87,-0.21
0.020072,-0.5651,-0.8418,-0.0937,2.59,-3.36,-2.52
0.020669,-0.5646,-0.8403,-0.0908,3.57,-3.08,0.07
0.021266,-0.5636,-0.8345,-0.0903,3.64,-3.43,0.00
0.021863,-0.5675,-0.8369,-0.0878,2.80,-2.73,-2.03
0.022460,-0.5680,-0.8389,-0.0883,3.85,-3.43,-0.35
0.023433,-0.5666,-0.8413,-0.0883,2.80,-2.87,-1.40
0.024030,-0.5671,-0.8447,-0.0913,3.64,-3.71,0.07
0.024627,-0.5641,-0.8428,-0.0883,2.87,-2.66,-1.40
0.025224,-0.5612,-0.8384,-0.0893,3.71,-3.50,0.14
0.025821,-0.5646,-0.8398,-0.0893,3.29,-2.17,-1.19
0.026418,-0.5651,-0.8447,-0.0878,3.50,-3.85,0.21
0.027015,-0.5651,-0.8447,-0.0937,3.43,-2.38,-0.77
0.027612,-0.5651,-0.8398,-0.0932,3.50,-3.99,0.28
0.028209,-0.5646,-0.8389,-0.0922,3.92,-2.73,-0.56
0.028806,-0.5656,-0.8438,-0.0927,3.22,-3.43,0.35
0.029403,-0.5641,-0.8428,-0.0922,3.99,-3.15,0.07
0.030000,-0.5666,-0.8438,-0.0913,3.29,-3.08,0.07
0.030597,-0.5680,-0.8457,-0.0883,4.34,-3.01,0.56
0.031194,-0.5671,-0.8438,-0.0898,3.01,-2.87,0.35
0.031791,-0.5685,-0.8423,-0.0883,4.34,-3.43,0.77
0.032388,-0.5680,-0.8403,-0.0883,2.94,-3.08,0.70
0.032985,-0.5646,-0.8389,-0.0908,4.62,-3.15,1.12
0.033582,-0.5641,-0.8389,-0.0908,3.22,-3.15,0.91
0.034179,-0.5666,-0.8408,-0.0878,4.41,-3.36,2.17
0.034179,-0.5646,-0.8408,-0.0854,3.43,-2.87,0.56
0.034772,-0.5646,-0.8418,-0.0908,4.13,-3.36,2.87
