time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000000,-0.3099,-0.9531,-0.0468,3.64,-2.45,3.01
0.000597,-0.3040,-0.9501,-0.0464,4.55,-0.84,4.13
0.001194,-0.3045,-0.9555,-0.0439,3.22,-2.10,3.08
0.001791,-0.3084,-0.9570,-0.0429,4.69,-0.63,4.13
0.002388,-0.3079,-0.9521,-0.0444,3.29,-1.68,3.29
0.002985,-0.3045,-0.9521,-0.0459,4.90,-1.05,4.62
0.003583,-0.3070,-0.9536,-0.0444,3.50,-1.61,3.15
0.004180,-0.3065,-0.9521,-0.0449,4.97,-0.56,4.62
0.004777,-0.3035,-0.9526,-0.0473,3.29,-1.89,3.15
0.005374,-0.3084,-0.9531,-0.0444,4.90,-0.56,4.83
0.005971,-0.3109,-0.9487,-0.0425,3.36,-1.54,3.22
0.006568,-0.3089,-0.9492,-0.0439,4.83,-0.42,5.04
0.007165,-0.3055,-0.9477,-0.0429,3.57,-1.61,3.29
0.007762,-0.3045,-0.9453,-0.0459,4.76,-0.42,5.32
0.008359,-0.3094,-0.9457,-0.0478,3.36,-1.05,3.43
0.008956,-0.3123,-0.9457,-0.0459,4.90,-0.56,5.39
0.009553,-0.3094,-0.9487,-0.0459,3.57,-1.05,3.64
0.010150,-0.3104,-0.9472,-0.0439,4.69,-0.35,5.46
0.010748,-0.3109,-0.9448,-0.0420,3.78,-1.40,3.64
0.011719,-0.3089,-0.9453,-0.0410,4.48,0.07,5.67
0.012316,-0.3084,-0.9457,-0.0425,3.92,-1.26,3.64
0.012913,-0.3099,-0.9462,-0.0415,4.06,0.42,5.67
0.013510,-0.3123,-0.9428,-0.0376,4.41,-1.26,3.71
0.014107,-0.3148,-0.9418,-0.0405,4.48,-0.91,4.20
0.014704,-0.3123,-0.9438,-0.0400,3.57,0.49,5.67
0.015302,-0.3148,-0.9409,-0.0449,4.27,-0.70,4.55
0.015899,-0.3138,-0.9409,-0.0449,3.85,0.70,4.90
0.016496,-0.3118,-0.9404,-0.0434,4.13,-0.70,4.76
0.017093,-0.3138,-0.9389,-0.0395,3.78,0.77,5.32
0.017690,-0.3167,-0.9355,-0.0386,3.99,-0.63,5.04
0.018287,-0.3192,-0.9360,-0.0356,3.85,1.12,4.76
0.018884,-0.3187,-0.9399,-0.0351,3.92,-0.49,5.60
0.019481,-0.3177,-0.9389,-0.0405,3.99,0.98,4.83
0.020078,-0.3182,-0.9389,-0.0415,3.78,-0.42,5.81
0.020675,-0.3167,-0.9394,-0.0371,3.85,1.05,5.18
0.021272,-0.3167,-0.9370,-0.0386,3.85,-0.07,5.74
0.021869,-0.3192,-0.9399,-0.0381,3.57,1.05,5.32
0.022467,-0.3182,-0.9414,-0.0371,3.92,0.77,6.16
0.023437,-0.3157,-0.9399,-0.0390,3.64,0.70,5.11
0.024034,-0.3167,-0.9409,-0.0381,3.29,0.42,6.30
0.024631,-0.3157,-0.9414,-0.0386,3.85,1.19,5.18
0.025228,-0.3157,-0.9404,-0.0386,3.29,0.98,6.79
0.025825,-0.3231,-0.9389,-0.0386,3.71,1.12,5.25
0.026422,-0.3231,-0.9399,-0.0376,3.22,1.05,6.86
0.027020,-0.3206,-0.9389,-0.0390,3.92,1.12,5.32
0.027617,-0.3231,-0.9365,-0.0405,3.01,1.19,7.42
0.028214,-0.3245,-0.9374,-0.0400,3.99,1.33,5.60
0.028811,-0.3240,-0.9374,-0.0410,2.80,1.68,7.35
0.029408,-0.3245,-0.9384,-0.0381,4.06,1.19,6.02
0.030005,-0.3279,-0.9394,-0.0371,3.08,1.75,7.91
0.030602,-0.3294,-0.9394,-0.0405,3.50,1.47,6.23
0.031199,-0.3255,-0.9414,-0.0390,3.29,1.82,7.63
0.031796,-0.3182,-0.9389,-0.0400,3.29,1.54,6.37
0.032393,-0.3162,-0.9379,-0.0415,3.15,2.24,8.12
0.032990,-0.3206,-0.9355,-0.0376,2.94,1.68,6.79
0.033587,-0.3206,-0.9331,-0.0381,3.64,2.59,8.75
0.034185,-0.3167,-0.9335,-0.0405,2.59,1.54,6.93
0.034185,-0.3157,-0.9316,-0.0386,3.71,2.52,8.47
0.034777,-0.3182,-0.9335,-0.0366,2.38,1.47,7.84
0.035374,-0.3201,-0.9394,-0.0366,3.43,3.08,8.05
0.035971,-0.3206,-0.9374,-0.0376,2.45,2.10,7.70
0.036568,-0.3196,-0.9350,-0.0376,3.29,3.29,8.26
0.037165,-0.3157,-0.9360,-0.0371,2.31,2.17,8.47
0.037763,-0.3152,-0.9365,-0.0376,3.36,3.08,7.77
0.038360,-0.3177,-0.9414,-0.0351,2.59,2.10,8.82
0.038957,-0.3201,-0.9418,-0.0356,3.08,3.15,8.47
0.039554,-0.3201,-0.9379,-0.0356,2.59,2.24,8.75
0.040151,-0.3231,-0.9355,-0.0346,2.87,3.99,8.19
0.040748,-0.3211,-0.9340,-0.0376,2.73,2.80,9.03
0.041345,-0.3196,-0.9379,-0.0390,2.66,2.87,9.10
0.041942,-0.3192,-0.9414,-0.0395,2.59,4.27,8.89
0.042539,-0.3177,-0.9394,-0.0415,2.73,3.15,8.75
0.043136,-0.3167,-0.9379,-0.0395,2.73,4.62,9.38
0.043733,-0.3187,-0.9404,-0.0376,2.73,3.29,8.54
0.044330,-0.3196,-0.9399,-0.0395,2.38,5.11,9.66
0.044928,-0.3221,-0.9379,-0.0390,2.73,3.43,8.82
0.045898,-0.3226,-0.9350,-0.0400,2.52,4.90,9.80
0.046495,-0.3206,-0.9379,-0.0434,2.38,3.92,9.31
0.047092,-0.3196,-0.9418,-0.0425,2.38,5.46,9.45
0.047689,-0.3206,-0.9389,-0.0410,2.38,4.20,9.45
0.048286,-0.3182,-0.9374,-0.0400,2.38,4.62,9.45
0.048883,-0.3187,-0.9345,-0.0386,2.31,5.81,10.01
0.049481,-0.3221,-0.9355,-0.0429,2.17,5.18,9.03
0.050078,-0.3245,-0.9360,-0.0429,2.38,5.81,10.36
0.050675,-0.3294,-0.9355,-0.0410,1.96,5.53,8.96
0.051272,-0.3309,-0.9355,-0.0410,1.96,6.02,9.59
0.051869,-0.3304,-0.9379,-0.0410,2.52,5.60,8.33
0.052466,-0.3299,-0.9321,-0.0444,1.75,6.02,10.01
0.053063,-0.3299,-0.9243,-0.0483,2.10,5.88,8.82
0.053660,-0.3314,-0.9179,-0.0473,2.03,6.02,9.94
0.054257,-0.3333,-0.9189,-0.0468,1.82,6.37,8.19
0.054854,-0.3289,-0.9360,-0.0454,1.89,6.44,9.87
0.055451,-0.3196,-0.9506,-0.0434,1.54,7.21,7.56
0.056048,-0.3182,-0.9560,-0.0459,2.24,6.16,10.08
0.056646,-0.3187,-0.9575,-0.0498,1.33,7.35,8.19
0.057617,-0.3138,-0.9545,-0.0537,2.52,6.44,10.15
0.058214,-0.3094,-0.9462,-0.0532,1.82,7.28,8.40
0.058811,-0.3084,-0.9389,-0.0498,2.24,6.86,9.24
0.059408,-0.3065,-0.9365,-0.0488,1.05,7.84,8.61
0.060005,-0.3070,-0.9399,-0.0517,2.52,7.28,9.66
0.060602,-0.3123,-0.9477,-0.0512,1.12,8.68,8.82
0.061200,-0.3148,-0.9453,-0.0493,2.52,7.35,9.73
