time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000000,-0.7281,0.7120,0.1840,5.53,-3.43,1.12
0.000597,-0.7291,0.7115,0.1840,6.02,-3.57,-1.68
0.001194,-0.7247,0.7110,0.1830,5.88,-3.01,0.77
0.001791,-0.7237,0.7110,0.1859,5.88,-3.71,-1.68
0.002388,-0.7247,0.7120,0.1889,6.44,-2.87,0.91
0.002985,-0.7237,0.7135,0.1845,5.88,-3.71,-1.54
0.003582,-0.7252,0.7135,0.1859,6.30,-2.66,0.98
0.004179,-0.7203,0.7100,0.1913,6.09,-3.57,-1.89
0.004775,-0.7183,0.7096,0.1879,6.44,-2.87,1.40
0.005372,-0.7198,0.7110,0.1850,6.23,-3.43,-1.68
0.005969,-0.7154,0.7115,0.1884,7.07,-3.22,1.26
0.006566,-0.7154,0.7110,0.1864,5.74,-3.29,-1.47
0.007163,-0.7164,0.7086,0.1903,7.63,-3.29,0.63
0.007760,-0.7174,0.7081,0.1903,5.81,-2.80,-1.61
0.008357,-0.7178,0.7071,0.1898,7.56,-3.43,1.33
0.008954,-0.7183,0.7066,0.1889,5.81,-2.73,-1.82
0.009551,-0.7174,0.7091,0.1884,7.63,-3.43,1.47
0.010148,-0.7144,0.7066,0.1859,5.95,-2.73,-1.75
0.010745,-0.7135,0.7042,0.1884,7.91,-3.08,1.26
0.010745,-0.7120,0.7042,0.1898,6.30,-2.31,-1.68
0.011339,-0.7105,0.7008,0.1942,7.98,-3.43,0.91
0.011936,-0.7115,0.7008,0.1957,6.79,-2.31,-1.89
0.012533,-0.7105,0.7047,0.1898,7.91,-3.08,1.68
0.013130,-0.7096,0.7047,0.1889,7.00,-2.31,-1.96
0.013727,-0.7115,0.7037,0.1923,7.98,-3.01,1.61
0.014324,-0.7125,0.7037,0.1952,7.07,-2.52,-1.47
0.014921,-0.7125,0.7047,0.1962,8.33,-3.50,1.40
0.015517,-0.7081,0.7013,0.1947,7.35,-2.10,-1.82
0.016114,-0.7125,0.6969,0.1957,8.54,-3.22,1.40
0.016711,-0.7178,0.7017,0.1981,7.49,-1.89,-1.96
0.017308,-0.7149,0.7071,0.1991,8.61,-3.01,1.40
0.017905,-0.7169,0.7061,0.1996,7.70,-2.31,-1.75
0.018502,-0.7174,0.7042,0.1957,9.03,-2.52,1.12
0.019099,-0.7174,0.7056,0.1967,8.05,-2.59,-1.19
0.019696,-0.7164,0.7047,0.2030,8.75,-2.59,1.05
0.020293,-0.7154,0.7027,0.2059,8.61,-2.66,-1.05
0.020890,-0.7188,0.7047,0.2059,8.68,-2.31,0.28
0.021487,-0.7193,0.7037,0.2045,8.96,-3.08,-1.12
0.022461,-0.7178,0.7013,0.2054,8.75,-1.89,0.35
0.023058,-0.7169,0.7032,0.2059,9.10,-3.15,-0.70
0.023655,-0.7169,0.7056,0.2020,8.89,-1.82,-0.28
0.024252,-0.7193,0.7047,0.2059,9.45,-3.08,-0.42
0.024849,-0.7164,0.7056,0.2089,9.17,-1.54,-0.35
0.025446,-0.7169,0.7081,0.2137,9.80,-3.22,-0.35
0.026043,-0.7183,0.7052,0.2152,9.66,-1.82,-0.35
0.026640,-0.7193,0.7032,0.2089,9.94,-3.36,-0.63
0.027236,-0.7169,0.7042,0.2123,10.08,-2.10,-0.70
0.027833,-0.7149,0.7052,0.2128,9.87,-2.73,-0.63
0.028430,-0.7169,0.7076,0.2113,10.57,-2.10,-1.33
0.029027,-0.7169,0.7052,0.2113,9.80,-2.59,-0.21
0.029624,-0.7198,0.7008,0.2142,10.85,-2.94,-1.12
0.030221,-0.7213,0.7042,0.2181,10.08,-2.59,-0.63
0.030818,-0.7203,0.7066,0.2191,11.55,-2.52,-2.10
0.031415,-0.7222,0.7061,0.2186,10.08,-2.66,-0.21
0.032012,-0.7252,0.7027,0.2142,11.55,-2.73,-1.26
0.032609,-0.7257,0.6993,0.2172,10.50,-2.66,-0.70
0.033206,-0.7257,0.7013,0.2206,11.97,-3.01,-1.82
0.033206,-0.7291,0.6993,0.2172,10.71,-2.03,-0.77
0.033800,-0.7315,0.6988,0.2172,12.32,-3.29,-2.03
0.034397,-0.7281,0.6988,0.2206,11.13,-2.31,-1.05
0.034994,-0.7286,0.6974,0.2216,12.39,-3.57,-1.96
0.035591,-0.7330,0.6974,0.2216,11.34,-2.10,-0.91
0.036188,-0.7374,0.6998,0.2245,12.67,-3.78,-2.10
0.036785,-0.7379,0.7027,0.2240,11.83,-2.10,-1.40
0.037382,-0.7359,0.7013,0.2279,12.95,-4.13,-2.10
0.037978,-0.7369,0.6974,0.2338,11.97,-2.10,-1.05
0.038575,-0.7403,0.6959,0.2323,12.81,-4.13,-2.52
0.039172,-0.7398,0.7008,0.2342,12.60,-2.73,-1.33
0.039769,-0.7383,0.6988,0.2342,12.88,-3.85,-2.52
0.040366,-0.7369,0.6954,0.2347,13.51,-3.22,-1.47
0.040963,-0.7379,0.6969,0.2357,13.16,-3.57,-2.87
0.041560,-0.7383,0.6974,0.2338,14.07,-3.08,-1.89
0.042157,-0.7403,0.6978,0.2342,13.30,-3.85,-2.87
0.042754,-0.7418,0.7003,0.2391,14.21,-3.29,-2.03
0.043351,-0.7379,0.7017,0.2425,13.72,-4.06,-2.94
0.043948,-0.7388,0.6983,0.2420,14.35,-3.43,-1.68
0.043948,-0.7437,0.6978,0.2416,14.21,-4.13,-3.08
0.044542,-0.7432,0.6983,0.2391,14.98,-3.57,-2.45
0.045139,-0.7403,0.6925,0.2416,14.70,-4.76,-3.71
0.045736,-0.7393,0.6886,0.2484,14.77,-3.57,-2.24
0.046333,-0.7403,0.6905,0.2479,15.40,-4.62,-3.71
0.046930,-0.7393,0.6900,0.2469,15.19,-3.99,-2.66
0.047527,-0.7354,0.6866,0.2474,15.82,-4.83,-3.71
0.048123,-0.7388,0.6842,0.2469,15.19,-3.99,-2.80
0.048720,-0.7432,0.6812,0.2503,16.59,-4.97,-3.71
0.049317,-0.7403,0.6822,0.2508,16.03,-4.90,-3.01
0.049914,-0.7383,0.6837,0.2508,16.87,-4.34,-4.20
0.050511,-0.7408,0.6822,0.2518,16.59,-5.32,-2.66
0.051108,-0.7403,0.6803,0.2542,17.08,-4.69,-4.48
0.051705,-0.7379,0.6778,0.2567,16.94,-4.90,-2.87
0.052302,-0.7379,0.6783,0.2586,17.50,-4.55,-4.62
0.052899,-0.7374,0.6793,0.2577,17.57,-4.83,-3.43
0.053496,-0.7364,0.6764,0.2538,17.99,-5.53,-5.04
0.054093,-0.7354,0.6749,0.2562,18.27,-5.39,-3.43
0.054690,-0.7340,0.6754,0.2591,18.20,-5.25,-5.46
0.055664,-0.7305,0.6749,0.2547,19.04,-5.53,-3.50
0.056261,-0.7286,0.6739,0.2547,18.62,-5.39,-5.74
0.056858,-0.7305,0.6759,0.2567,19.67,-5.39,-3.64
0.057455,-0.7310,0.6739,0.2606,18.55,-5.39,-6.30
0.058052,-0.7296,0.6715,0.2635,20.23,-5.67,-3.50
0.058649,-0.7266,0.6710,0.2625,19.18,-5.53,-6.65
0.059246,-0.7227,0.6730,0.2572,20.86,-6.09,-3.71
0.059843,-0.7193,0.6749,0.2621,19.67,-5.53,-7.42
0.060439,-0.7198,0.6710,0.2616,21.28,-6.44,-3.85
0.061036,-0.7193,0.6686,0.2582,20.09,-5.74,-7.63
