time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000000,-0.7462,0.7027,0.0854,0.63,-1.47,-1.96
0.000597,-0.7471,0.7032,0.0834,0.35,-0.84,-1.89
0.001194,-0.7462,0.7071,0.0825,0.63,-1.05,-0.49
0.001791,-0.7413,0.7056,0.0859,0.56,-1.26,-2.10
0.002387,-0.7432,0.7061,0.0888,0.77,-0.91,-0.70
0.002984,-0.7481,0.7076,0.0854,0.70,-1.05,-2.03
0.003581,-0.7457,0.7086,0.0805,0.77,-0.91,-0.63
0.004178,-0.7427,0.7076,0.0815,0.35,-0.91,-1.68
0.004775,-0.7413,0.7037,0.0820,1.19,-0.98,-1.26
0.005372,-0.7442,0.7013,0.0805,0.21,-1.12,-1.12
0.005969,-0.7471,0.7047,0.0805,1.19,-1.12,-1.05
0.006565,-0.7486,0.7115,0.0830,0.28,-1.12,-1.33
0.007162,-0.7476,0.7105,0.0859,1.12,-0.91,-1.68
0.007759,-0.7486,0.7076,0.0869,0.49,-1.26,-1.12
0.008356,-0.7501,0.7071,0.0834,0.91,-0.84,-2.03
0.008953,-0.7471,0.7061,0.0815,0.84,-1.68,-0.91
0.009550,-0.7471,0.7081,0.0859,0.91,-0.84,-2.10
0.010146,-0.7462,0.7066,0.0878,0.98,-1.47,-0.56
0.010743,-0.7466,0.7071,0.0874,0.56,-1.26,-1.82
0.011719,-0.7491,0.7105,0.0854,1.26,-1.26,-0.84
0.012316,-0.7491,0.7115,0.0834,0.70,-1.33,-0.56
0.012913,-0.7466,0.7115,0.0854,0.91,-1.19,-2.31
0.013510,-0.7471,0.7125,0.0839,0.77,-0.91,-0.35
0.014106,-0.7510,0.7130,0.0834,0.84,-1.47,-1.75
0.014703,-0.7481,0.7120,0.0815,0.56,-1.05,-0.35
0.015300,-0.7442,0.7115,0.0825,0.70,-1.54,-1.82
0.015897,-0.7476,0.7139,0.0834,1.12,-1.19,-0.56
0.016494,-0.7466,0.7135,0.0839,0.42,-1.54,-1.75
0.017091,-0.7427,0.7135,0.0874,0.63,-0.63,-0.91
0.017688,-0.7432,0.7169,0.0874,0.91,-1.96,-2.03
0.018284,-0.7442,0.7169,0.0844,0.70,-0.98,-0.56
0.018881,-0.7486,0.7174,0.0834,0.77,-1.68,-1.40
0.019478,-0.7491,0.7178,0.0849,0.77,-1.19,-0.28
0.020075,-0.7452,0.7183,0.0864,0.77,-1.47,-1.96
0.020672,-0.7462,0.7193,0.0859,0.63,-0.84,-0.21
0.021269,-0.7466,0.7193,0.0820,0.77,-1.54,-1.75
0.021865,-0.7466,0.7193,0.0800,0.98,-1.05,-0.28
0.022462,-0.7491,0.7164,0.0791,0.56,-1.54,-1.89
0.022462,-0.7476,0.7115,0.0781,0.91,-0.77,-0.42
0.023058,-0.7481,0.7144,0.0766,0.28,-1.61,-1.26
0.023655,-0.7466,0.7193,0.0766,1.12,-0.91,-0.77
0.024252,-0.7442,0.7193,0.0791,0.21,-1.12,-1.40
0.024848,-0.7476,0.7227,0.0771,0.84,-0.70,-0.63
0.025445,-0.7462,0.7222,0.0752,0.14,-1.61,-1.12
0.026042,-0.7418,0.7174,0.0766,0.98,-0.91,-0.49
0.026639,-0.7383,0.7159,0.0795,0.28,-1.33,-0.91
0.027236,-0.7388,0.7169,0.0834,0.77,-0.98,-0.63
0.027833,-0.7369,0.7198,0.0854,0.42,-1.26,-1.12
0.028430,-0.7369,0.7208,0.0820,0.07,-0.70,-0.35
0.029026,-0.7393,0.7218,0.0800,0.35,-1.12,-0.91
0.029623,-0.7374,0.7218,0.0839,0.28,-0.98,-0.42
0.030220,-0.7349,0.7174,0.0844,0.49,-1.19,-1.12
0.030817,-0.7315,0.7198,0.0839,0.00,-0.98,-0.07
0.031414,-0.7310,0.7198,0.0810,0.35,-0.28,-1.40
0.032011,-0.7335,0.7193,0.0805,0.49,-1.26,0.35
0.032607,-0.7344,0.7208,0.0805,0.00,-0.14,-1.33
0.033204,-0.7374,0.7198,0.0771,0.63,-1.40,-0.07
0.034180,-0.7330,0.7237,0.0781,0.28,-1.19,0.21
0.034777,-0.7305,0.7242,0.0791,-0.21,0.07,-1.12
0.035374,-0.7325,0.7178,0.0810,0.42,-0.98,-0.14
0.035971,-0.7364,0.7139,0.0854,0.00,0.14,-0.84
0.036567,-0.7379,0.7178,0.0854,-0.07,-0.63,-0.56
0.037164,-0.7379,0.7213,0.0756,-0.07,0.28,-0.56
0.037761,-0.7369,0.7188,0.0766,-0.28,-0.56,-0.49
0.038358,-0.7344,0.7159,0.0825,-0.28,0.07,-0.28
0.038955,-0.7310,0.7183,0.0825,-0.14,-0.35,-0.63
0.039552,-0.7335,0.7218,0.0810,-0.07,0.28,-0.21
0.040149,-0.7300,0.7227,0.0800,-0.28,-0.14,-0.77
0.040745,-0.7266,0.7242,0.0786,-0.28,0.28,-0.07
0.041342,-0.7281,0.7227,0.0815,0.07,0.21,-1.12
0.041939,-0.7300,0.7188,0.0834,-0.49,0.42,-0.07
0.042536,-0.7310,0.7208,0.0781,-0.35,0.14,-0.63
0.043133,-0.7281,0.7193,0.0771,-0.28,0.49,-0.21
0.043730,-0.7261,0.7154,0.0795,-0.35,0.77,-0.70
0.044326,-0.7252,0.7188,0.0810,-0.35,1.12,-0.91
0.044923,-0.7232,0.7203,0.0810,-0.35,0.14,0.07
0.045899,-0.7213,0.7183,0.0791,-0.56,1.19,-0.84
0.046496,-0.7252,0.7208,0.0771,-0.63,0.56,0.35
0.047093,-0.7271,0.7203,0.0786,-0.84,1.54,-1.05
0.047690,-0.7252,0.7174,0.0791,-0.28,0.56,0.35
0.048286,-0.7227,0.7183,0.0795,-0.70,2.03,-1.12
0.048883,-0.7232,0.7193,0.0825,-0.28,0.77,0.21
0.049480,-0.7222,0.7198,0.0795,-1.12,2.10,-1.19
0.050077,-0.7198,0.7213,0.0776,-0.14,1.05,0.35
0.050674,-0.7227,0.7213,0.0737,-1.40,2.24,-1.33
0.051271,-0.7218,0.7227,0.0712,-0.14,1.05,0.42
0.051868,-0.7232,0.7227,0.0786,-1.40,2.17,-0.98
0.052464,-0.7257,0.7198,0.0820,-0.70,1.82,0.21
0.053061,-0.7242,0.7169,0.0786,-0.91,2.03,-0.98
0.053658,-0.7208,0.7208,0.0761,-0.84,1.82,-0.14
0.054255,-0.7213,0.7271,0.0737,-1.26,2.24,-0.56
0.054852,-0.7237,0.7266,0.0742,-1.05,2.17,-0.42
0.055449,-0.7227,0.7257,0.0742,-0.91,2.52,-0.35
0.056046,-0.7208,0.7266,0.0732,-1.12,1.96,-0.49
0.056642,-0.7183,0.7271,0.0732,-1.12,2.94,-0.63
0.057617,-0.7218,0.7257,0.0747,-1.40,2.31,-0.28
0.058214,-0.7232,0.7237,0.0756,-1.40,3.22,-0.14
0.058811,-0.7203,0.7218,0.0732,-1.26,2.38,-0.91
0.059408,-0.7218,0.7261,0.0732,-1.26,3.50,0.56
0.060004,-0.7213,0.7281,0.0766,-1.47,2.45,-0.77
0.060601,-0.7193,0.7232,0.0795,-0.84,3.57,0.28
0.061198,-0.7203,0.7247,0.0805,-1.75,2.52,-1.05
0.061795,-0.7198,0.7286,0.0766,-1.26,3.57,0.49
0.062392,-0.7218,0.7281,0.0747,-1.89,3.08,-1.12
0.062989,-0.7208,0.7286,0.0756,-0.84,3.71,0.35
0.063586,-0.7198,0.7261,0.0776,-2.17,3.50,-0.84
0.064182,-0.7222,0.7237,0.0776,-0.98,3.71,0.35
0.064779,-0.7232,0.7252,0.0771,-1.89,3.36,-0.49
0.065376,-0.7222,0.7198,0.0786,-1.40,4.34,0.07
0.065973,-0.7213,0.7208,0.0766,-1.82,3.22,-0.49
0.066570,-0.7188,0.7271,0.0766,-1.61,4.20,0.56
0.067167,-0.7183,0.7271,0.0810,-1.96,3.71,0.00
0.067764,-0.7198,0.7252,0.0766,-1.89,4.48,0.56
0.068360,-0.7218,0.7222,0.0717,-1.75,4.27,-0.63
0.068360,-0.7218,0.7198,0.0737,-2.17,4.41,0.91
0.068956,-0.7213,0.7193,0.0737,-1.40,4.41,-0.91
0.069553,-0.7218,0.7188,0.0747,-2.10,4.13,0.70
0.070150,-0.7193,0.7159,0.0771,-1.82,4.83,-0.70
0.070746,-0.7208,0.7149,0.0727,-1.96,4.34,0.70
0.071343,-0.7227,0.7169,0.0703,-1.96,4.90,-0.42
0.071940,-0.7218,0.7144,0.0727,-1.96,4.27,1.19
0.072537,-0.7218,0.7130,0.0786,-2.38,4.97,-0.21
0.073134,-0.7261,0.7188,0.0791,-1.75,4.41,1.12
0.073731,-0.7247,0.7198,0.0742,-2.38,5.18,-0.07
0.074328,-0.7213,0.7164,0.0722,-1.82,4.76,1.19
0.074924,-0.7242,0.7193,0.0727,-2.03,5.11,-0.49
