time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000000,-0.6027,-0.6100,0.5095,2.80,7.00,1.54
0.000597,-0.6032,-0.6120,0.5085,2.59,5.67,-0.14
0.001194,-0.6027,-0.6120,0.5080,2.59,7.00,1.12
0.001791,-0.6017,-0.6129,0.5080,2.73,5.67,0.00
0.002388,-0.6071,-0.6134,0.5085,2.80,7.07,1.54
0.002985,-0.6066,-0.6134,0.5114,2.66,5.39,0.14
0.003582,-0.6012,-0.6129,0.5134,3.50,6.23,1.33
0.004179,-0.6012,-0.6129,0.5090,2.59,5.39,0.28
0.004776,-0.6032,-0.6120,0.5085,3.36,6.09,1.33
0.005373,-0.6032,-0.6110,0.5124,2.66,5.53,-0.28
0.005970,-0.6002,-0.6154,0.5124,3.64,5.74,1.47
0.006567,-0.5993,-0.6173,0.5114,2.10,5.53,-0.07
0.007164,-0.6007,-0.6139,0.5119,3.57,5.60,1.68
0.007761,-0.5958,-0.6154,0.5090,2.31,4.97,0.00
0.008358,-0.5949,-0.6183,0.5119,3.71,5.46,1.82
0.008955,-0.5958,-0.6124,0.5144,3.85,4.76,2.17
0.009552,-0.5954,-0.6129,0.5178,3.71,5.04,2.24
0.010149,-0.5944,-0.6163,0.5114,3.29,4.62,0.14
0.010746,-0.5910,-0.6173,0.5148,3.22,4.76,1.89
0.011719,-0.5915,-0.6159,0.5173,3.36,4.62,0.07
0.012316,-0.5919,-0.6168,0.5139,3.71,4.48,1.61
0.012913,-0.5924,-0.6183,0.5144,3.57,4.76,-0.07
0.013510,-0.5939,-0.6183,0.5153,3.50,4.34,1.96
0.014107,-0.5915,-0.6183,0.5119,3.43,4.76,0.07
0.014704,-0.5929,-0.6202,0.5124,3.78,3.85,1.47
0.015301,-0.5924,-0.6207,0.5139,3.50,4.90,0.21
0.015898,-0.5910,-0.6193,0.5114,3.92,3.64,1.82
0.016495,-0.5934,-0.6173,0.5119,3.29,4.76,0.56
0.017092,-0.5944,-0.6193,0.5148,4.20,3.22,1.61
0.017689,-0.5905,-0.6212,0.5178,3.29,4.55,0.56
0.018286,-0.5910,-0.6202,0.5178,4.27,3.15,1.12
0.018883,-0.5958,-0.6183,0.5158,3.64,3.92,0.77
0.019480,-0.5944,-0.6188,0.5124,3.99,3.92,0.84
0.020077,-0.5934,-0.6188,0.5134,4.13,3.64,0.63
