time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000000,-0.4636,-0.7061,0.5856,1.54,1.40,-5.46
0.000597,-0.4641,-0.7013,0.5900,0.56,1.54,-4.97
0.001194,-0.4675,-0.7052,0.5856,1.40,1.68,-6.23
0.001791,-0.4665,-0.7061,0.5866,0.42,1.61,-4.55
0.002388,-0.4685,-0.7056,0.5895,1.05,1.47,-5.95
0.002985,-0.4719,-0.7091,0.5856,0.98,1.40,-4.83
0.003582,-0.4734,-0.7071,0.5876,0.14,2.10,-6.09
0.004179,-0.4763,-0.7091,0.5900,1.47,0.91,-4.83
0.004776,-0.4782,-0.7139,0.5890,-0.35,2.10,-6.37
0.005373,-0.4792,-0.7110,0.5910,1.12,0.98,-4.69
0.005970,-0.4792,-0.7071,0.5905,-0.56,2.31,-6.30
0.006567,-0.4792,-0.7096,0.5915,1.19,0.77,-4.55
0.007164,-0.4860,-0.7056,0.5895,0.84,0.98,-4.55
0.007761,-0.4870,-0.7066,0.5890,-0.56,1.61,-6.79
0.008358,-0.4880,-0.7086,0.5934,0.91,1.33,-4.97
0.008955,-0.4870,-0.7081,0.5963,-0.84,1.54,-6.30
0.009552,-0.4904,-0.7086,0.5993,0.56,1.40,-5.18
0.010149,-0.4890,-0.7096,0.5949,-0.91,1.33,-6.23
0.010746,-0.4895,-0.7091,0.5954,0.42,1.47,-5.18
0.011718,-0.4963,-0.7100,0.5993,-0.84,0.98,-6.44
0.012315,-0.4958,-0.7086,0.5963,0.00,1.33,-5.32
0.012912,-0.4943,-0.7056,0.5939,-0.84,1.12,-6.86
0.013509,-0.4973,-0.7071,0.5958,-0.21,0.98,-5.11
0.014106,-0.4997,-0.7091,0.5998,-0.98,1.12,-7.14
0.014703,-0.4968,-0.7037,0.5993,-0.28,1.19,-5.39
0.015300,-0.4987,-0.6998,0.5968,-1.26,0.84,-6.93
0.015897,-0.5061,-0.7022,0.5968,-0.07,1.19,-6.30
0.016494,-0.5061,-0.7042,0.6041,-1.54,1.05,-6.79
0.017091,-0.5041,-0.7071,0.6056,-0.35,0.70,-6.44
0.017688,-0.5075,-0.7061,0.6012,-1.68,0.70,-6.72
0.018285,-0.5095,-0.7047,0.6051,-0.49,1.33,-6.86
0.018882,-0.5104,-0.7042,0.6085,-1.54,0.35,-6.86
0.019479,-0.5095,-0.6998,0.6056,-1.05,1.40,-6.93
0.020076,-0.5085,-0.6988,0.6037,-1.54,0.42,-7.14
0.020673,-0.5134,-0.6983,0.6071,-1.19,1.33,-7.14
0.021270,-0.5173,-0.6974,0.6056,-1.54,0.14,-6.79
0.021867,-0.5197,-0.6988,0.6061,-1.33,0.56,-7.49
0.022464,-0.5178,-0.6978,0.6080,-1.68,0.14,-6.65
