time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000000,-0.9106,0.4290,-0.0898,1.75,-3.08,1.96
0.000597,-0.9062,0.4324,-0.0874,1.89,-3.22,4.27
0.001194,-0.9052,0.4343,-0.0844,2.10,-3.01,1.82
0.001791,-0.9077,0.4382,-0.0839,1.54,-2.80,4.13
0.002389,-0.9111,0.4392,-0.0854,2.10,-3.36,1.96
0.002986,-0.9111,0.4358,-0.0839,1.12,-2.31,4.20
0.003583,-0.9072,0.4338,-0.0805,2.24,-3.22,1.89
0.004180,-0.9057,0.4338,-0.0820,1.19,-2.17,3.71
0.004777,-0.9008,0.4353,-0.0864,1.96,-3.08,2.24
0.005374,-0.8969,0.4338,-0.0874,1.40,-2.24,3.36
0.005971,-0.9013,0.4319,-0.0849,1.40,-3.08,2.66
0.006568,-0.9023,0.4343,-0.0839,1.47,-2.17,3.15
0.007166,-0.8999,0.4338,-0.0844,1.47,-3.15,2.80
0.007763,-0.9033,0.4314,-0.0859,1.26,-2.38,3.08
0.008360,-0.9048,0.4309,-0.0854,1.33,-2.80,2.87
0.008957,-0.9048,0.4280,-0.0820,1.68,-2.45,2.94
0.009554,-0.9057,0.4265,-0.0805,1.12,-2.17,2.59
0.010151,-0.9038,0.4314,-0.0830,1.82,-2.52,2.94
0.010748,-0.9018,0.4299,-0.0854,0.77,-2.17,2.80
0.010748,-0.9033,0.4255,-0.0864,2.03,-2.38,2.80
0.011339,-0.9052,0.4275,-0.0869,0.56,-2.31,3.22
0.011936,-0.9062,0.4231,-0.0874,2.03,-1.89,2.59
0.012533,-0.9038,0.4226,-0.0854,1.05,-2.24,3.15
0.013131,-0.9062,0.4270,-0.0859,1.75,-1.82,2.52
0.013728,-0.9096,0.4260,-0.0888,0.91,-2.17,3.29
0.014325,-0.9077,0.4236,-0.0898,1.61,-1.89,2.52
0.014922,-0.9087,0.4265,-0.0898,1.05,-1.54,3.15
0.015519,-0.9082,0.4270,-0.0898,1.68,-2.24,2.66
0.016116,-0.9082,0.4255,-0.0932,1.26,-1.40,3.08
0.016713,-0.9101,0.4265,-0.0927,1.33,-2.24,2.94
0.017310,-0.9106,0.4241,-0.0927,1.12,-1.12,2.87
0.017908,-0.9111,0.4260,-0.0913,1.40,-2.31,3.15
0.018505,-0.9116,0.4290,-0.0903,1.26,-1.12,3.43
0.019102,-0.9130,0.4265,-0.0922,1.40,-2.24,2.94
0.019699,-0.9145,0.4270,-0.0947,1.47,-1.19,3.43
0.020296,-0.9145,0.4290,-0.0952,1.12,-1.96,2.66
0.020893,-0.9126,0.4270,-0.0956,1.47,-0.98,3.78
0.021490,-0.9126,0.4299,-0.0947,1.05,-2.03,2.73
0.022461,-0.9121,0.4285,-0.0937,1.75,-1.47,3.57
0.023058,-0.9130,0.4265,-0.0952,0.84,-2.17,3.36
0.023655,-0.9174,0.4275,-0.0937,2.03,-1.26,3.22
0.024252,-0.9184,0.4265,-0.0932,0.42,-2.17,3.57
0.024850,-0.9111,0.4285,-0.0917,2.17,-1.19,3.15
0.025447,-0.9077,0.4290,-0.0903,0.84,-1.68,3.36
0.026044,-0.9111,0.4304,-0.0883,2.10,-1.96,3.43
0.026641,-0.9121,0.4275,-0.0961,0.91,-1.19,3.08
