time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0011,-0.2811,0.9784,0.0527,-0.14,-5.25,0.63
0.0021,-0.2816,0.9780,0.0537,-0.07,-6.02,0.21
0.0032,-0.2816,0.9755,0.0547,-0.14,-5.11,0.91
0.0042,-0.2821,0.9765,0.0517,0.07,-5.25,0.77
0.0053,-0.2821,0.9780,0.0522,-0.28,-5.81,0.21
0.0063,-0.2826,0.9784,0.0571,0.14,-4.90,1.19
0.0074,-0.2840,0.9780,0.0556,-0.14,-5.88,-0.28
0.0084,-0.2821,0.9784,0.0547,0.35,-5.25,0.84
0.0095,-0.2821,0.9794,0.0551,-0.14,-5.39,0.07
0.0106,-0.2835,0.9814,0.0532,0.14,-5.04,0.98
0.0116,-0.2821,0.9833,0.0547,0.07,-5.67,-0.35
0.0127,-0.2806,0.9828,0.0571,0.21,-4.90,0.84
0.0137,-0.2821,0.9804,0.0527,0.21,-5.18,0.14
0.0148,-0.2860,0.9780,0.0493,0.42,-5.32,0.28
0.0158,-0.2879,0.9784,0.0517,0.00,-5.11,0.35
0.0169,-0.2869,0.9780,0.0542,0.21,-5.25,0.07
0.0179,-0.2865,0.9765,0.0547,0.35,-5.25,0.70
0.0190,-0.2845,0.9755,0.0556,0.28,-5.25,-0.35
0.0200,-0.2821,0.9750,0.0600,0.56,-4.62,0.77
0.0211,-0.2811,0.9745,0.0595,0.07,-5.46,-0.28
0.0215,-0.2796,0.9755,0.0508,0.77,-4.90,0.63
0.0219,-0.2806,0.9731,0.0517,1.19,-4.76,1.05
0.0222,-0.2806,0.9750,0.0527,0.28,-5.04,-0.42
0.0226,-0.2806,0.9794,0.0551,0.84,-4.62,1.26
0.0230,-0.2830,0.9794,0.0551,0.42,-4.76,-0.56
0.0234,-0.2816,0.9794,0.0571,0.70,-4.83,1.05
0.0238,-0.2777,0.9833,0.0571,0.63,-4.83,-0.21
0.0241,-0.2796,0.9804,0.0532,0.98,-4.83,0.98
0.0245,-0.2791,0.9736,0.0522,0.70,-4.90,0.21
0.0249,-0.2728,0.9736,0.0532,0.56,-4.83,0.63
0.0253,-0.2713,0.9731,0.0508,0.98,-4.34,0.91
0.0256,-0.2708,0.9740,0.0532,0.84,-5.04,0.35
0.0260,-0.2752,0.9770,0.0586,1.05,-4.06,1.33
0.0264,-0.2796,0.9760,0.0605,0.70,-4.69,0.21
0.0268,-0.2767,0.9731,0.0576,1.26,-4.06,1.61
0.0272,-0.2772,0.9726,0.0537,0.70,-4.62,0.35
0.0275,-0.2786,0.9750,0.0581,1.33,-4.27,2.10
0.0279,-0.2796,0.9765,0.0615,0.49,-4.55,0.35
0.0283,-0.2826,0.9780,0.0581,1.19,-4.55,2.24
0.0287,-0.2782,0.9760,0.0547,0.77,-4.27,0.56
0.0293,-0.2708,0.9736,0.0522,1.47,-4.55,2.17
0.0299,-0.2728,0.9765,0.0551,0.98,-4.34,0.28
0.0305,-0.2752,0.9784,0.0571,1.47,-4.34,2.80
0.0311,-0.2767,0.9765,0.0537,1.05,-4.13,0.70
0.0318,-0.2772,0.9731,0.0542,1.47,-4.27,2.66
0.0324,-0.2752,0.9716,0.0566,1.33,-4.20,1.19
0.0330,-0.2713,0.9706,0.0547,1.40,-4.62,2.73
0.0336,-0.2689,0.9687,0.0522,1.33,-3.78,1.61
0.0342,-0.2699,0.9692,0.0517,1.47,-4.83,2.31
0.0349,-0.2684,0.9667,0.0532,1.12,-3.99,2.38
0.0355,-0.2684,0.9623,0.0532,1.61,-4.20,2.31
0.0361,-0.2704,0.9648,0.0537,1.33,-4.20,2.87
0.0367,-0.2684,0.9692,0.0561,1.68,-4.97,2.03
0.0373,-0.2669,0.9706,0.0571,1.54,-3.99,3.57
0.0379,-0.2635,0.9701,0.0551,1.75,-4.48,2.17
0.0386,-0.2635,0.9667,0.0527,1.61,-4.13,3.57
0.0392,-0.2684,0.9672,0.0542,1.40,-4.41,2.24
0.0398,-0.2611,0.9648,0.0551,1.68,-4.34,2.66
0.0404,-0.2611,0.9662,0.0566,1.89,-4.62,3.78
0.0410,-0.2601,0.9721,0.0615,1.40,-4.13,2.94
0.0416,-0.2625,0.9750,0.0600,1.89,-4.48,3.99
0.0421,-0.2606,0.9740,0.0551,1.33,-4.48,3.36
0.0426,-0.2621,0.9731,0.0556,2.10,-4.69,3.99
0.0432,-0.2625,0.9731,0.0566,1.47,-4.27,3.92
0.0437,-0.2586,0.9706,0.0551,2.31,-4.41,4.20
0.0443,-0.2591,0.9706,0.0488,1.54,-4.34,4.34
0.0448,-0.2640,0.9711,0.0464,2.45,-4.48,4.34
0.0453,-0.2621,0.9692,0.0517,1.68,-4.76,4.62
0.0459,-0.2596,0.9697,0.0512,2.24,-4.69,4.34
0.0464,-0.2596,0.9701,0.0517,1.89,-4.69,5.11
0.0469,-0.2582,0.9706,0.0542,2.17,-4.69,4.55
0.0475,-0.2577,0.9687,0.0532,2.31,-4.69,5.11
0.0480,-0.2606,0.9667,0.0537,1.82,-4.69,4.76
0.0486,-0.2621,0.9682,0.0488,2.52,-4.76,5.32
0.0491,-0.2621,0.9682,0.0444,1.61,-4.90,4.83
0.0496,-0.2645,0.9648,0.0503,2.66,-4.62,5.46
0.0502,-0.2616,0.9643,0.0483,2.17,-5.04,5.25
0.0507,-0.2557,0.9648,0.0483,2.38,-5.11,5.32
0.0512,-0.2557,0.9618,0.0498,2.10,-4.97,5.32
0.0518,-0.2557,0.9623,0.0493,2.45,-5.25,5.53
0.0523,-0.2542,0.9682,0.0493,1.89,-4.83,5.81
0.0529,-0.2567,0.9716,0.0498,2.31,-5.04,5.60
0.0534,-0.2572,0.9692,0.0483,2.31,-5.11,5.88
0.0539,-0.2596,0.9658,0.0532,2.17,-5.11,5.53
0.0545,-0.2601,0.9618,0.0542,2.38,-5.11,6.23
0.0550,-0.2596,0.9584,0.0498,2.52,-5.39,5.46
0.0556,-0.2606,0.9599,0.0459,2.31,-5.32,6.16
0.0561,-0.2606,0.9609,0.0459,2.31,-5.11,5.46
0.0566,-0.2591,0.9609,0.0429,2.45,-5.25,6.30
0.0572,-0.2586,0.9614,0.0459,2.17,-5.18,5.74
0.0577,-0.2611,0.9628,0.0527,2.73,-5.39,6.23
0.0583,-0.2582,0.9643,0.0488,2.10,-5.39,5.46
0.0588,-0.2567,0.9623,0.0473,2.66,-5.25,6.02
0.0593,-0.2582,0.9609,0.0517,2.17,-5.53,5.67
0.0599,-0.2596,0.9594,0.0542,2.87,-5.04,6.16
0.0604,-0.2630,0.9604,0.0478,2.45,-5.67,5.67
0.0610,-0.2601,0.9614,0.0454,2.80,-5.25,5.95
0.0615,-0.2630,0.9609,0.0468,2.80,-5.60,5.74
0.0620,-0.2635,0.9589,0.0478,2.45,-5.25,6.02
0.0626,-0.2635,0.9575,0.0503,2.38,-5.74,5.67
0.0638,-0.2611,0.9560,0.0522,2.66,-5.04,5.74
0.0649,-0.2606,0.9555,0.0493,2.73,-5.95,5.04
0.0661,-0.2625,0.9570,0.0498,2.52,-5.04,5.74
0.0673,-0.2645,0.9555,0.0503,2.45,-5.11,5.18
0.0685,-0.2611,0.9550,0.0473,2.31,-4.90,5.74
0.0697,-0.2596,0.9570,0.0503,2.66,-5.53,5.11
0.0708,-0.2640,0.9531,0.0522,2.38,-5.39,5.67
0.0720,-0.2635,0.9506,0.0483,2.73,-5.60,4.76
0.0732,-0.2650,0.9545,0.0493,2.31,-5.53,5.25
0.0744,-0.2669,0.9570,0.0551,2.66,-5.32,4.83
0.0756,-0.2660,0.9584,0.0512,2.80,-5.39,4.97
0.0768,-0.2655,0.9614,0.0488,2.24,-5.25,4.83
0.0779,-0.2650,0.9614,0.0522,2.59,-5.46,4.83
0.0791,-0.2674,0.9609,0.0517,2.52,-5.88,4.27
0.0803,-0.2713,0.9614,0.0551,2.66,-4.90,4.83
