time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0001,-0.1571,0.9980,-0.0181,-3.01,-4.62,-2.87
0.0003,-0.1581,0.9970,-0.0215,-2.59,-4.20,-1.26
0.0004,-0.1547,1.0004,-0.0229,-3.01,-4.48,-2.66
0.0006,-0.1518,1.0024,-0.0210,-2.38,-4.48,-1.47
0.0007,-0.1542,0.9994,-0.0210,-3.29,-4.62,-2.38
0.0009,-0.1596,0.9994,-0.0200,-2.45,-4.34,-1.75
0.0010,-0.1596,1.0004,-0.0195,-2.87,-4.62,-2.24
0.0012,-0.1581,0.9980,-0.0190,-2.52,-4.34,-1.47
0.0013,-0.1596,0.9950,-0.0205,-3.29,-4.76,-1.89
0.0015,-0.1601,0.9955,-0.0249,-2.17,-4.48,-1.68
0.0016,-0.1581,0.9965,-0.0244,-3.15,-4.27,-1.40
0.0018,-0.1601,0.9975,-0.0229,-2.52,-4.62,-1.75
0.0019,-0.1620,1.0009,-0.0205,-3.08,-4.62,-1.68
0.0020,-0.1630,1.0028,-0.0205,-2.66,-3.85,-1.12
0.0022,-0.1630,1.0014,-0.0166,-2.73,-4.76,-1.19
0.0023,-0.1625,1.0019,-0.0132,-2.73,-3.85,-1.61
0.0025,-0.1610,1.0028,-0.0171,-2.73,-4.48,-0.91
0.0026,-0.1620,1.0009,-0.0181,-2.80,-4.06,-1.19
0.0028,-0.1640,1.0028,-0.0161,-2.66,-4.62,-0.77
0.0029,-0.1635,1.0033,-0.0176,-2.80,-3.78,-1.26
0.0042,-0.1615,1.0024,-0.0200,-2.59,-4.69,-0.84
0.0055,-0.1586,1.0028,-0.0181,-2.73,-4.20,-1.12
0.0068,-0.1596,1.0028,-0.0181,-2.52,-4.27,-0.63
0.0081,-0.1630,1.0038,-0.0220,-2.87,-4.41,-0.91
0.0093,-0.1645,1.0043,-0.0195,-2.52,-3.85,-0.49
0.0106,-0.1635,1.0053,-0.0176,-2.59,-4.20,-0.28
0.0119,-0.1635,1.0028,-0.0181,-2.59,-4.20,-0.63
0.0132,-0.1620,1.0009,-0.0161,-2.94,-4.48,0.00
0.0145,-0.1591,1.0058,-0.0161,-2.38,-4.13,-0.63
0.0158,-0.1625,1.0033,-0.0215,-2.73,-4.41,-0.07
0.0170,-0.1576,1.0014,-0.0156,-2.94,-4.20,0.70
0.0183,-0.1557,1.0004,-0.0156,-2.31,-4.27,-0.49
0.0196,-0.1571,1.0014,-0.0176,-2.66,-4.06,0.91
0.0209,-0.1591,1.0009,-0.0171,-2.66,-3.99,-0.21
0.0222,-0.1645,0.9989,-0.0151,-2.66,-3.64,1.05
0.0235,-0.1645,1.0009,-0.0166,-2.38,-4.41,-0.07
0.0248,-0.1620,1.0014,-0.0156,-2.52,-3.50,0.91
0.0260,-0.1630,0.9965,-0.0151,-2.66,-3.92,0.42
0.0273,-0.1615,0.9955,-0.0195,-2.45,-3.99,0.77
0.0286,-0.1586,0.9975,-0.0185,-2.87,-3.99,0.63
0.0286,-0.1547,0.9984,-0.0166,-2.31,-3.78,0.84
0.0287,-0.1542,0.9994,-0.0171,-2.94,-4.27,0.91
0.0287,-0.1532,0.9984,-0.0181,-2.38,-3.43,0.77
0.0287,-0.1527,0.9955,-0.0190,-2.52,-4.13,1.19
0.0288,-0.1547,0.9936,-0.0146,-2.24,-3.43,0.98
0.0288,-0.1547,0.9945,-0.0137,-2.87,-3.99,1.33
0.0288,-0.1527,0.9955,-0.0156,-2.10,-3.71,1.33
