time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0001,-0.2157,0.9721,-0.0195,0.63,-1.68,1.82
0.0002,-0.2123,0.9731,-0.0181,1.05,-2.17,1.05
0.0003,-0.2133,0.9701,-0.0156,0.70,-1.47,1.96
0.0004,-0.2142,0.9692,-0.0210,0.84,-2.10,1.05
0.0005,-0.2147,0.9706,-0.0210,0.56,-2.03,1.75
0.0007,-0.2137,0.9745,-0.0146,0.77,-2.10,1.05
0.0008,-0.2162,0.9706,-0.0098,0.63,-1.68,1.75
0.0009,-0.2167,0.9697,-0.0122,0.35,-1.75,1.40
0.0010,-0.2157,0.9726,-0.0146,0.77,-2.10,1.33
0.0011,-0.2147,0.9711,-0.0112,0.63,-2.38,1.68
0.0012,-0.2123,0.9765,-0.0088,0.98,-1.96,1.47
0.0013,-0.2152,0.9804,-0.0117,0.63,-2.03,1.82
0.0014,-0.2181,0.9750,-0.0112,0.77,-2.45,1.05
0.0015,-0.2162,0.9726,-0.0054,0.84,-2.10,1.89
0.0016,-0.2162,0.9770,-0.0088,0.77,-2.17,1.19
0.0018,-0.2172,0.9765,-0.0156,0.77,-1.82,2.03
0.0019,-0.2162,0.9760,-0.0112,0.91,-1.54,1.47
0.0020,-0.2206,0.9750,-0.0107,0.70,-1.54,2.17
0.0021,-0.2225,0.9736,-0.0161,0.56,-2.52,0.98
0.0022,-0.2191,0.9726,-0.0171,0.77,-1.96,1.75
0.0032,-0.2181,0.9721,-0.0176,0.70,-2.24,1.26
0.0042,-0.2181,0.9731,-0.0132,0.84,-2.52,1.75
0.0052,-0.2176,0.9775,-0.0098,0.70,-2.03,1.33
0.0061,-0.2147,0.9799,-0.0122,0.70,-2.31,1.54
0.0071,-0.2128,0.9784,-0.0142,0.42,-2.24,1.19
0.0081,-0.2137,0.9755,-0.0142,0.98,-2.45,1.05
0.0091,-0.2133,0.9755,-0.0137,0.42,-2.10,1.61
0.0101,-0.2128,0.9760,-0.0146,1.19,-2.31,1.05
0.0111,-0.2147,0.9789,-0.0156,0.49,-2.38,1.40
0.0120,-0.2123,0.9799,-0.0166,0.84,-2.52,1.05
0.0130,-0.2113,0.9755,-0.0161,0.56,-2.52,1.12
0.0140,-0.2128,0.9760,-0.0112,0.84,-2.38,0.91
0.0150,-0.2113,0.9765,-0.0122,0.70,-2.24,1.05
0.0160,-0.2137,0.9736,-0.0161,0.84,-2.45,0.77
0.0170,-0.2133,0.9736,-0.0195,0.84,-2.66,1.33
0.0179,-0.2137,0.9770,-0.0220,0.63,-2.10,0.91
0.0189,-0.2167,0.9789,-0.0215,0.84,-2.66,1.05
0.0199,-0.2181,0.9765,-0.0195,0.63,-2.17,0.91
0.0209,-0.2186,0.9750,-0.0156,1.05,-3.01,0.63
0.0219,-0.2157,0.9789,-0.0151,0.70,-2.24,0.84
0.0220,-0.2167,0.9814,-0.0142,0.63,-3.15,0.63
0.0221,-0.2157,0.9789,-0.0137,0.84,-2.03,0.77
0.0222,-0.2152,0.9789,-0.0166,0.98,-2.80,0.35
0.0223,-0.2133,0.9794,-0.0200,1.05,-2.38,0.63
0.0224,-0.2113,0.9755,-0.0171,0.91,-2.94,0.56
0.0225,-0.2162,0.9745,-0.0137,0.84,-2.45,0.49
0.0225,-0.2147,0.9775,-0.0220,0.77,-2.73,0.49
0.0226,-0.2128,0.9804,-0.0210,0.84,-2.52,0.56
0.0227,-0.2167,0.9784,-0.0166,0.77,-2.87,0.35
0.0228,-0.2172,0.9770,-0.0156,0.98,-2.73,0.42
0.0229,-0.2152,0.9770,-0.0176,0.91,-2.66,0.28
0.0230,-0.2152,0.9775,-0.0190,0.84,-2.73,0.42
0.0231,-0.2142,0.9814,-0.0137,0.84,-2.94,0.00
0.0232,-0.2147,0.9823,-0.0122,1.05,-2.94,0.14
0.0233,-0.2181,0.9799,-0.0166,0.70,-2.45,0.49
0.0234,-0.2220,0.9780,-0.0166,0.98,-3.29,-0.21
0.0235,-0.2220,0.9780,-0.0156,0.91,-2.38,0.28
0.0236,-0.2220,0.9775,-0.0137,1.19,-3.08,-0.07
0.0237,-0.2211,0.9780,-0.0102,0.84,-2.10,0.21
0.0238,-0.2186,0.9794,-0.0117,1.12,-2.87,0.00
0.0244,-0.2157,0.9740,-0.0132,1.19,-2.45,-0.14
0.0251,-0.2147,0.9706,-0.0137,1.33,-3.08,-0.07
0.0257,-0.2191,0.9726,-0.0146,1.26,-2.31,-0.14
0.0263,-0.2206,0.9780,-0.0127,1.12,-3.08,-0.35
0.0269,-0.2206,0.9814,-0.0102,1.61,-2.45,0.07
0.0276,-0.2211,0.9750,-0.0102,1.26,-2.66,-0.49
0.0282,-0.2240,0.9745,-0.0098,1.61,-2.24,0.28
0.0288,-0.2240,0.9775,-0.0117,0.98,-2.66,-0.70
0.0295,-0.2220,0.9755,-0.0137,1.54,-2.31,0.14
0.0301,-0.2220,0.9731,-0.0127,1.12,-2.87,-0.56
0.0307,-0.2201,0.9731,-0.0146,1.12,-2.80,-0.14
0.0314,-0.2176,0.9775,-0.0102,1.33,-2.45,-0.84
0.0320,-0.2220,0.9736,-0.0088,1.19,-1.89,0.00
0.0326,-0.2196,0.9716,-0.0151,1.40,-3.64,-1.05
0.0332,-0.2206,0.9740,-0.0161,1.40,-1.47,0.35
0.0339,-0.2196,0.9804,-0.0102,1.61,-3.43,-0.84
0.0345,-0.2157,0.9794,-0.0102,1.61,-1.68,0.21
0.0351,-0.2137,0.9750,-0.0142,1.33,-2.87,-0.84
0.0358,-0.2162,0.9784,-0.0156,1.89,-2.03,0.63
0.0364,-0.2162,0.9819,-0.0151,1.26,-3.22,-0.98
0.0372,-0.2147,0.9784,-0.0107,2.03,-2.10,0.70
0.0381,-0.2167,0.9770,-0.0073,1.26,-2.94,-0.63
0.0389,-0.2152,0.9804,-0.0083,1.89,-2.03,0.84
0.0398,-0.2118,0.9814,-0.0093,1.19,-2.59,-0.70
0.0406,-0.2123,0.9823,-0.0137,2.10,-2.38,0.77
0.0414,-0.2118,0.9819,-0.0146,1.54,-2.38,0.00
0.0423,-0.2103,0.9784,-0.0093,1.75,-2.52,0.21
0.0431,-0.2113,0.9809,-0.0083,1.75,-1.96,0.42
0.0440,-0.2108,0.9809,-0.0112,1.89,-3.22,0.14
0.0448,-0.2098,0.9804,-0.0132,1.96,-1.61,0.49
0.0457,-0.2113,0.9833,-0.0142,1.89,-3.08,0.00
0.0465,-0.2108,0.9819,-0.0161,2.03,-2.24,0.70
0.0473,-0.2098,0.9819,-0.0142,1.75,-2.80,0.21
0.0482,-0.2118,0.9819,-0.0102,2.66,-1.89,0.56
0.0490,-0.2103,0.9789,-0.0107,1.61,-2.73,0.28
