time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0001,-0.1181,1.0033,-0.0581,0.14,-1.89,-0.98
0.0002,-0.1196,1.0063,-0.0566,-0.14,-2.66,-1.26
0.0004,-0.1176,1.0111,-0.0571,0.21,-2.10,-0.98
0.0005,-0.1127,1.0121,-0.0576,0.07,-2.24,-1.40
0.0006,-0.1113,1.0155,-0.0561,0.56,-1.89,-1.05
0.0007,-0.1127,1.0155,-0.0566,0.28,-2.31,-1.12
0.0008,-0.1137,1.0146,-0.0586,0.56,-1.68,-1.26
0.0009,-0.1142,1.0131,-0.0571,0.42,-2.17,-0.70
0.0011,-0.1147,1.0146,-0.0551,0.49,-2.17,-1.12
0.0012,-0.1166,1.0150,-0.0551,0.42,-2.10,-0.63
0.0013,-0.1196,1.0126,-0.0556,0.77,-1.89,-0.56
0.0014,-0.1205,1.0102,-0.0586,0.77,-2.17,-0.21
0.0015,-0.1220,1.0058,-0.0586,0.84,-2.10,-0.63
0.0016,-0.1215,1.0038,-0.0542,0.56,-1.82,0.00
0.0018,-0.1244,1.0014,-0.0556,0.91,-2.80,-0.56
0.0019,-0.1283,1.0004,-0.0561,0.84,-1.82,-0.56
0.0020,-0.1210,0.9902,-0.0551,0.98,-2.24,-0.70
0.0021,-0.1200,0.9853,-0.0556,0.77,-1.89,-0.56
0.0022,-0.1166,0.9794,-0.0556,1.33,-1.82,-0.49
0.0024,-0.1137,0.9682,-0.0576,0.70,-2.17,-0.56
0.0037,-0.1088,0.9579,-0.0586,1.26,-1.82,-0.70
0.0050,-0.1049,0.9477,-0.0566,0.77,-2.17,-0.28
0.0063,-0.1025,0.9409,-0.0522,0.91,-1.89,-1.05
0.0076,-0.1030,0.9418,-0.0493,0.77,-2.10,-0.63
0.0089,-0.1069,0.9448,-0.0512,0.35,-1.82,-0.63
0.0102,-0.1078,0.9521,-0.0571,0.63,-1.82,-0.35
0.0115,-0.1078,0.9623,-0.0561,0.28,-2.17,-0.98
0.0128,-0.1088,0.9706,-0.0556,0.21,-1.75,-0.07
0.0141,-0.1127,0.9750,-0.0551,0.28,-2.17,-0.70
0.0154,-0.1147,0.9765,-0.0542,0.56,-2.03,-0.91
0.0167,-0.1157,0.9804,-0.0542,-0.14,-1.75,-0.56
0.0180,-0.1152,0.9780,-0.0551,0.21,-2.03,-1.05
0.0193,-0.1161,0.9789,-0.0551,-0.35,-1.96,-1.19
0.0206,-0.1186,0.9892,-0.0517,0.14,-2.24,-0.91
0.0219,-0.1161,1.0033,-0.0542,-0.21,-1.68,-0.98
0.0233,-0.1157,1.0146,-0.0556,0.63,-2.17,-1.19
0.0246,-0.1152,1.0219,-0.0561,0.07,-2.10,-1.12
0.0259,-0.1147,1.0243,-0.0586,0.49,-2.03,-0.84
0.0272,-0.1166,1.0170,-0.0576,0.42,-2.17,-0.91
0.0285,-0.1147,1.0092,-0.0590,0.91,-2.17,-0.84
0.0285,-0.1171,1.0024,-0.0595,0.49,-1.89,-0.56
0.0286,-0.1171,0.9906,-0.0556,0.70,-2.52,-1.05
0.0286,-0.1152,0.9877,-0.0542,1.05,-1.61,-0.35
0.0287,-0.1152,0.9916,-0.0527,0.21,-2.52,-1.12
0.0288,-0.1157,0.9941,-0.0508,0.91,-2.03,-0.14
0.0288,-0.1176,1.0063,-0.0517,0.14,-2.17,-0.70
0.0289,-0.1220,1.0238,-0.0547,0.98,-1.61,-0.07
0.0289,-0.1254,1.0350,-0.0566,0.14,-2.38,-0.70
0.0290,-0.1230,1.0375,-0.0571,1.12,-2.03,-0.14
0.0290,-0.1240,1.0321,-0.0595,0.56,-2.17,-0.14
0.0291,-0.1181,0.9989,-0.0605,1.47,-2.17,-0.42
0.0291,-0.1142,0.9760,-0.0620,1.33,-1.96,-0.21
0.0292,-0.1108,0.9575,-0.0605,0.91,-2.03,-0.49
0.0293,-0.1064,0.9428,-0.0561,1.05,-2.10,-0.63
0.0293,-0.1054,0.9365,-0.0542,0.77,-1.89,-0.84
0.0294,-0.1088,0.9384,-0.0547,0.56,-2.45,-0.63
0.0294,-0.1118,0.9414,-0.0547,0.63,-1.75,-0.91
0.0295,-0.1122,0.9467,-0.0512,0.28,-2.45,-0.56
0.0295,-0.1088,0.9506,-0.0483,0.70,-1.40,-0.84
0.0296,-0.1093,0.9526,-0.0503,0.28,-2.59,-0.70
0.0299,-0.1088,0.9560,-0.0503,0.63,-1.26,-0.56
0.0302,-0.1108,0.9623,-0.0517,0.28,-2.45,-0.84
0.0304,-0.1108,0.9701,-0.0551,0.63,-1.75,-0.49
0.0307,-0.1093,0.9814,-0.0542,-0.28,-2.24,-0.28
0.0310,-0.1152,0.9921,-0.0537,0.35,-2.03,-0.84
0.0313,-0.1161,1.0024,-0.0551,0.14,-2.80,-0.84
0.0315,-0.1166,1.0111,-0.0605,0.00,-1.96,-0.84
0.0318,-0.1205,1.0175,-0.0630,0.35,-1.89,-0.70
0.0321,-0.1225,1.0189,-0.0576,0.14,-1.82,-0.70
0.0324,-0.1225,1.0121,-0.0566,0.63,-1.82,-0.63
0.0327,-0.1220,1.0053,-0.0586,0.63,-1.54,-0.84
0.0329,-0.1200,1.0019,-0.0561,0.91,-1.82,-1.05
0.0332,-0.1152,0.9980,-0.0537,0.91,-1.96,-0.84
0.0335,-0.1137,0.9994,-0.0542,0.84,-1.82,-1.05
0.0338,-0.1122,1.0024,-0.0571,0.84,-2.45,-0.84
0.0341,-0.1108,1.0048,-0.0547,0.70,-1.75,-0.63
0.0343,-0.1152,1.0102,-0.0551,0.35,-2.10,-0.42
0.0346,-0.1166,1.0150,-0.0595,0.84,-2.10,-0.49
0.0349,-0.1142,1.0199,-0.0586,0.56,-1.96,-0.49
0.0352,-0.1142,1.0199,-0.0581,0.91,-1.82,0.21
0.0364,-0.1171,1.0131,-0.0595,0.70,-2.03,-0.49
0.0377,-0.1186,0.9994,-0.0605,0.98,-2.03,0.14
0.0389,-0.1181,0.9858,-0.0586,0.91,-2.24,-0.49
0.0402,-0.1176,0.9770,-0.0586,1.12,-1.96,-0.21
0.0415,-0.1142,0.9687,-0.0590,0.91,-1.89,-0.63
0.0427,-0.1113,0.9633,-0.0566,0.84,-2.10,-0.28
0.0440,-0.1122,0.9672,-0.0595,0.77,-1.89,-1.12
0.0452,-0.1127,0.9736,-0.0581,0.70,-1.89,-0.14
0.0465,-0.1122,0.9770,-0.0556,0.70,-1.75,-0.70
0.0477,-0.1103,0.9770,-0.0576,0.42,-2.10,-0.77
0.0490,-0.1059,0.9750,-0.0566,0.70,-1.82,-0.49
0.0503,-0.1049,0.9687,-0.0556,0.49,-2.24,-0.56
0.0515,-0.1044,0.9594,-0.0576,0.77,-1.82,-0.42
0.0528,-0.1030,0.9487,-0.0586,0.42,-2.38,-0.49
0.0540,-0.1030,0.9394,-0.0551,0.42,-1.96,-0.56
0.0553,-0.1039,0.9423,-0.0532,0.35,-2.59,-1.12
0.0565,-0.1064,0.9516,-0.0566,0.21,-1.96,-0.84
0.0578,-0.1078,0.9662,-0.0561,0.14,-2.17,-0.63
0.0591,-0.1069,0.9853,-0.0556,0.07,-1.96,-1.05
0.0603,-0.1108,1.0038,-0.0590,0.14,-1.82,-0.56
0.0603,-0.1166,1.0214,-0.0595,0.21,-2.45,-1.54
0.0604,-0.1181,1.0365,-0.0600,0.28,-2.17,-0.63
0.0604,-0.1191,1.0448,-0.0610,-0.07,-2.31,-0.84
0.0605,-0.1166,1.0458,-0.0620,0.42,-1.75,-0.70
0.0605,-0.1161,1.0370,-0.0600,0.35,-2.45,-0.42
0.0605,-0.1152,1.0243,-0.0595,0.56,-1.75,-0.56
0.0606,-0.1166,1.0136,-0.0581,0.63,-2.17,-0.84
0.0606,-0.1205,0.9989,-0.0571,0.77,-2.10,-0.77
0.0606,-0.1176,0.9853,-0.0547,0.42,-1.96,-0.70
0.0607,-0.1161,0.9799,-0.0556,0.98,-2.10,-0.84
0.0607,-0.1161,0.9775,-0.0542,0.49,-2.03,-0.91
0.0607,-0.1132,0.9765,-0.0493,0.70,-2.17,-0.84
0.0608,-0.1113,0.9823,-0.0512,0.70,-2.03,-0.49
0.0608,-0.1118,0.9887,-0.0556,0.63,-2.10,-0.42
0.0609,-0.1137,0.9926,-0.0581,0.49,-1.75,-0.28
0.0609,-0.1142,0.9970,-0.0581,0.91,-2.31,-0.42
0.0609,-0.1157,0.9980,-0.0590,0.63,-2.17,-0.35
0.0610,-0.1147,0.9926,-0.0576,0.77,-1.96,-0.07
0.0610,-0.1127,0.9867,-0.0551,0.77,-2.10,-0.42
0.0610,-0.1181,0.9838,-0.0556,0.70,-2.38,-0.21
0.0614,-0.1186,0.9804,-0.0556,0.77,-1.82,-0.56
0.0618,-0.1127,0.9750,-0.0547,0.56,-2.03,-0.35
0.0622,-0.1103,0.9726,-0.0556,0.98,-1.89,-0.49
0.0626,-0.1078,0.9687,-0.0561,0.49,-2.03,-0.98
0.0630,-0.1064,0.9628,-0.0551,0.56,-2.03,-0.84
0.0634,-0.1059,0.9594,-0.0527,0.35,-2.17,-1.05
0.0638,-0.1030,0.9614,-0.0556,0.63,-2.10,-0.77
0.0641,-0.1054,0.9653,-0.0561,0.42,-2.17,-0.84
0.0645,-0.0986,0.9672,-0.0561,0.42,-2.03,-0.84
0.0649,-0.1010,0.9711,-0.0586,0.07,-2.45,-0.49
0.0653,-0.1074,0.9804,-0.0590,0.49,-1.96,-0.84
0.0657,-0.1093,0.9897,-0.0566,-0.14,-1.89,-0.42
0.0661,-0.1118,0.9994,-0.0556,0.35,-2.17,-0.84
0.0665,-0.1118,1.0077,-0.0551,0.14,-2.45,-0.91
0.0669,-0.1166,1.0126,-0.0571,0.00,-1.82,-0.56
0.0673,-0.1171,1.0180,-0.0586,0.28,-2.03,-0.77
0.0676,-0.1127,1.0238,-0.0595,0.28,-2.10,-0.49
0.0680,-0.1181,1.0209,-0.0590,0.56,-2.45,-0.84
0.0684,-0.1191,1.0150,-0.0566,0.56,-1.75,-0.63
0.0688,-0.1157,1.0111,-0.0551,0.70,-2.24,-0.84
0.0694,-0.1137,1.0082,-0.0547,0.49,-2.03,-0.63
0.0701,-0.1108,1.0043,-0.0542,0.77,-2.17,-1.12
0.0707,-0.1108,0.9999,-0.0542,0.91,-1.96,-0.42
0.0714,-0.1103,0.9950,-0.0542,0.63,-1.96,-1.19
0.0720,-0.1078,0.9911,-0.0556,0.77,-2.03,-0.21
0.0726,-0.1088,0.9911,-0.0561,0.98,-2.45,-1.19
0.0733,-0.1122,0.9897,-0.0542,0.77,-1.75,0.21
0.0739,-0.1161,0.9877,-0.0527,0.70,-1.96,-0.63
0.0745,-0.1161,0.9823,-0.0522,0.98,-2.24,0.42
0.0752,-0.1157,0.9731,-0.0537,0.63,-2.24,-0.77
0.0758,-0.1171,0.9677,-0.0576,1.26,-2.17,-0.07
0.0764,-0.1161,0.9638,-0.0581,0.63,-1.54,-0.21
0.0771,-0.1181,0.9604,-0.0561,1.12,-2.31,-0.70
0.0777,-0.1205,0.9604,-0.0556,0.42,-1.96,-0.14
0.0783,-0.1166,0.9633,-0.0537,0.70,-2.38,-0.84
0.0790,-0.1127,0.9697,-0.0542,0.35,-1.68,-0.35
0.0796,-0.1088,0.9755,-0.0556,0.42,-2.38,-1.19
0.0803,-0.1093,0.9799,-0.0561,0.77,-1.89,-0.28
0.0809,-0.1132,0.9819,-0.0556,0.28,-2.10,-1.47
0.0815,-0.1132,0.9809,-0.0551,0.84,-1.68,-0.07
0.0821,-0.1093,0.9814,-0.0581,0.00,-2.66,-1.40
0.0826,-0.1069,0.9784,-0.0551,0.84,-1.89,-0.42
0.0831,-0.1074,0.9765,-0.0527,0.14,-2.45,-1.26
0.0837,-0.1074,0.9784,-0.0571,0.70,-1.82,-0.28
0.0842,-0.1127,0.9833,-0.0595,-0.14,-2.10,-1.19
0.0848,-0.1122,0.9872,-0.0590,0.49,-2.38,-0.63
0.0853,-0.1127,0.9945,-0.0595,0.07,-1.68,-0.70
0.0859,-0.1127,1.0009,-0.0605,0.63,-1.96,-0.63
0.0864,-0.1147,1.0053,-0.0576,0.00,-1.89,-0.77
0.0869,-0.1166,1.0087,-0.0556,0.56,-2.59,-0.84
0.0875,-0.1137,1.0077,-0.0556,0.49,-1.68,-0.70
0.0880,-0.1161,1.0092,-0.0556,0.35,-2.66,-0.91
0.0886,-0.1220,1.0102,-0.0576,0.63,-1.61,-0.35
0.0891,-0.1244,1.0106,-0.0576,0.28,-2.59,-1.47
0.0897,-0.1176,1.0150,-0.0576,0.77,-1.33,-0.07
0.0902,-0.1186,1.0160,-0.0556,0.28,-2.66,-1.05
0.0907,-0.1230,1.0106,-0.0522,0.84,-1.40,0.07
0.0913,-0.1220,1.0097,-0.0542,0.42,-2.66,-0.91
0.0918,-0.1176,1.0043,-0.0610,1.33,-1.75,0.00
0.0924,-0.1137,0.9892,-0.0605,0.56,-2.45,-1.05
0.0929,-0.1142,0.9780,-0.0547,1.26,-1.82,0.28
0.0935,-0.1142,0.9721,-0.0532,0.70,-2.17,-0.98
0.0941,-0.1132,0.9623,-0.0537,1.33,-2.24,0.00
0.0946,-0.1147,0.9589,-0.0517,0.63,-1.89,-0.63
0.0952,-0.1147,0.9648,-0.0498,0.98,-2.73,-0.35
0.0958,-0.1122,0.9667,-0.0512,0.77,-1.54,-0.28
0.0963,-0.1108,0.9692,-0.0537,0.35,-2.38,-0.56
0.0969,-0.1132,0.9740,-0.0542,0.84,-1.61,-0.21
0.0975,-0.1176,0.9775,-0.0547,0.42,-2.52,-0.70
0.0980,-0.1176,0.9828,-0.0576,0.63,-1.40,-0.49
0.0986,-0.1147,0.9862,-0.0571,0.14,-2.73,-0.77
0.0991,-0.1147,0.9838,-0.0610,1.12,-1.40,-0.49
0.0997,-0.1157,0.9799,-0.0610,-0.28,-2.24,-1.19
0.1003,-0.1152,0.9775,-0.0581,0.98,-1.89,-0.21
0.1008,-0.1132,0.9770,-0.0571,-0.14,-2.03,-1.54
0.1014,-0.1108,0.9784,-0.0566,0.98,-1.89,-0.14
0.1020,-0.1132,0.9804,-0.0561,-0.07,-2.73,-1.54
0.1025,-0.1157,0.9814,-0.0547,0.56,-1.68,0.00
0.1031,-0.1181,0.9843,-0.0566,-0.14,-2.17,-1.47
0.1037,-0.1152,0.9916,-0.0566,0.77,-2.03,-0.35
0.1048,-0.1098,0.9984,-0.0551,0.00,-2.73,-1.61
0.1059,-0.1132,1.0038,-0.0532,0.63,-1.96,-0.07
0.1070,-0.1171,1.0111,-0.0551,0.07,-2.52,-1.19
0.1081,-0.1230,1.0175,-0.0542,0.14,-1.68,-0.49
0.1092,-0.1210,1.0189,-0.0571,0.49,-2.87,-1.26
