time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0000,-0.1122,0.9887,-0.0561,0.07,-1.75,-0.98
0.0000,-0.1127,0.9984,-0.0566,0.35,-1.47,-0.98
0.0001,-0.1157,1.0082,-0.0537,0.21,-2.31,-0.91
0.0001,-0.1186,1.0185,-0.0561,0.28,-1.26,-0.42
0.0001,-0.1191,1.0258,-0.0595,0.21,-2.52,-1.33
0.0001,-0.1176,1.0263,-0.0586,0.28,-1.54,-0.14
0.0001,-0.1157,1.0292,-0.0561,0.49,-2.87,-1.54
0.0001,-0.1171,1.0258,-0.0561,0.35,-1.40,-0.14
0.0002,-0.1191,1.0204,-0.0556,0.70,-2.87,-1.75
0.0002,-0.1191,1.0238,-0.0571,0.28,-1.54,-0.14
0.0002,-0.1181,1.0243,-0.0581,0.84,-2.17,-1.19
0.0002,-0.1186,1.0180,-0.0571,0.91,-1.61,-0.35
0.0002,-0.1166,1.0141,-0.0586,0.70,-2.03,-1.05
0.0003,-0.1152,1.0087,-0.0590,1.05,-1.75,-0.21
0.0003,-0.1142,1.0009,-0.0586,0.98,-1.89,-0.63
0.0003,-0.1137,0.9916,-0.0581,0.84,-2.52,-0.42
0.0003,-0.1161,0.9794,-0.0571,1.12,-2.03,-0.49
0.0003,-0.1142,0.9672,-0.0566,0.84,-2.31,-0.28
0.0004,-0.1093,0.9550,-0.0551,1.12,-1.61,0.35
0.0004,-0.1088,0.9433,-0.0547,1.12,-2.73,-1.05
0.0008,-0.1137,0.9335,-0.0498,1.12,-1.33,0.35
0.0012,-0.1176,0.9399,-0.0512,0.70,-1.47,0.28
0.0016,-0.1152,0.9453,-0.0522,0.35,-2.31,-1.12
0.0020,-0.1137,0.9516,-0.0517,0.70,-1.33,0.28
0.0024,-0.1132,0.9594,-0.0542,0.14,-2.59,-1.12
0.0028,-0.1122,0.9706,-0.0566,0.63,-1.82,0.00
0.0032,-0.1122,0.9828,-0.0566,0.00,-1.89,-0.91
0.0036,-0.1137,0.9887,-0.0542,0.49,-1.89,-0.14
0.0040,-0.1103,0.9921,-0.0537,-0.07,-2.17,-1.33
0.0044,-0.1103,0.9960,-0.0586,0.49,-2.45,-0.63
0.0048,-0.1137,0.9955,-0.0571,-0.21,-1.68,-0.63
0.0052,-0.1161,0.9980,-0.0542,0.21,-2.59,-0.84
0.0056,-0.1171,1.0009,-0.0561,0.21,-2.17,-0.84
0.0060,-0.1147,1.0058,-0.0566,0.49,-2.24,-1.40
0.0064,-0.1132,1.0106,-0.0581,0.21,-1.82,-0.70
0.0068,-0.1147,1.0150,-0.0605,0.28,-2.59,-1.75
0.0072,-0.1132,1.0214,-0.0571,0.21,-1.47,-0.35
0.0076,-0.1103,1.0224,-0.0566,0.07,-2.80,-1.89
0.0080,-0.1157,1.0248,-0.0590,0.84,-1.82,0.00
0.0084,-0.1210,1.0282,-0.0586,0.14,-2.45,-1.82
0.0094,-0.1230,1.0253,-0.0590,1.12,-1.40,0.49
0.0103,-0.1240,1.0233,-0.0586,0.07,-3.01,-1.68
0.0113,-0.1240,1.0189,-0.0595,1.40,-1.68,0.14
0.0122,-0.1200,1.0102,-0.0605,0.28,-2.10,-1.12
0.0132,-0.1196,1.0048,-0.0576,1.33,-1.82,0.21
0.0141,-0.1196,0.9984,-0.0566,0.21,-1.96,-0.84
0.0151,-0.1176,0.9902,-0.0600,1.54,-2.10,-0.21
0.0160,-0.1191,0.9823,-0.0610,0.49,-1.61,-0.49
0.0170,-0.1176,0.9745,-0.0581,1.40,-2.31,-0.21
0.0179,-0.1157,0.9672,-0.0547,0.77,-1.47,-0.35
0.0189,-0.1103,0.9633,-0.0537,0.91,-2.38,-0.63
0.0198,-0.1049,0.9565,-0.0561,0.91,-1.68,-0.14
0.0208,-0.1074,0.9506,-0.0566,0.56,-2.59,-0.91
0.0217,-0.1064,0.9501,-0.0566,0.84,-1.19,0.21
0.0227,-0.1039,0.9521,-0.0551,0.49,-3.01,-1.12
0.0236,-0.1054,0.9526,-0.0551,0.91,-1.05,0.35
0.0246,-0.1064,0.9501,-0.0542,0.07,-3.15,-1.47
0.0255,-0.1049,0.9496,-0.0532,0.84,-1.40,0.42
0.0265,-0.1064,0.9531,-0.0581,-0.56,-3.08,-1.47
0.0274,-0.1078,0.9589,-0.0551,0.91,-1.19,0.14
0.0276,-0.1093,0.9672,-0.0517,-0.49,-2.94,-1.68
0.0278,-0.1142,0.9755,-0.0527,0.98,-1.19,0.07
0.0280,-0.1166,0.9828,-0.0532,-0.35,-2.38,-1.54
0.0282,-0.1147,0.9916,-0.0561,0.49,-1.89,-0.14
0.0283,-0.1147,1.0048,-0.0547,-0.56,-2.31,-1.89
0.0285,-0.1166,1.0121,-0.0503,0.63,-2.24,-0.56
0.0287,-0.1157,1.0165,-0.0527,-0.21,-2.03,-1.68
0.0289,-0.1157,1.0214,-0.0576,0.28,-2.52,-0.84
0.0290,-0.1152,1.0233,-0.0566,0.07,-1.82,-1.05
0.0292,-0.1132,1.0224,-0.0576,0.35,-2.52,-0.70
0.0294,-0.1118,1.0238,-0.0586,0.70,-1.54,-0.77
0.0296,-0.1118,1.0258,-0.0586,0.49,-2.66,-1.12
0.0298,-0.1142,1.0214,-0.0566,0.63,-1.12,-0.07
0.0299,-0.1200,1.0209,-0.0576,0.35,-2.94,-1.19
0.0301,-0.1215,1.0204,-0.0595,0.98,-1.33,0.14
0.0303,-0.1210,1.0160,-0.0605,0.35,-2.73,-1.47
0.0305,-0.1152,1.0014,-0.0551,0.49,-2.52,-1.05
0.0306,-0.1157,0.9960,-0.0542,1.26,-1.54,0.14
0.0308,-0.1196,0.9862,-0.0547,0.70,-2.45,-0.70
0.0310,-0.1157,0.9770,-0.0561,1.19,-1.68,0.07
0.0315,-0.1137,0.9726,-0.0581,0.70,-2.31,-0.63
0.0321,-0.1142,0.9706,-0.0547,1.05,-2.17,-0.14
0.0326,-0.1132,0.9662,-0.0527,1.05,-2.03,-0.56
0.0332,-0.1152,0.9638,-0.0556,0.98,-1.89,0.07
0.0337,-0.1118,0.9623,-0.0551,0.84,-1.54,-0.28
0.0343,-0.1127,0.9614,-0.0512,0.91,-2.45,-0.49
0.0348,-0.1127,0.9623,-0.0532,0.63,-1.75,-0.21
0.0354,-0.1093,0.9589,-0.0556,0.49,-2.24,-0.91
0.0359,-0.1098,0.9570,-0.0556,0.56,-1.68,-0.28
0.0365,-0.1088,0.9575,-0.0556,0.21,-2.38,-0.98
0.0370,-0.1078,0.9565,-0.0542,0.70,-1.68,-0.14
0.0376,-0.1069,0.9614,-0.0522,0.21,-2.80,-1.05
0.0381,-0.1064,0.9731,-0.0547,0.21,-1.96,-0.49
0.0387,-0.1088,0.9809,-0.0586,0.28,-2.03,-1.12
0.0392,-0.1049,0.9809,-0.0566,0.21,-2.03,-1.26
0.0398,-0.1083,0.9902,-0.0542,0.00,-2.31,-1.12
0.0403,-0.1103,0.9970,-0.0566,0.07,-1.75,-1.05
0.0409,-0.1118,1.0038,-0.0571,0.28,-2.59,-1.40
0.0414,-0.1113,1.0121,-0.0542,-0.07,-1.47,-0.77
